"# total is calibrated WITHIN k (the normalisation caps are pair-fitted); compare rows by percentile_within_k, never a triple's total against a pair's. deduped_into names the better combination that makes the same claim with an interchangeable part; blank means this row is the family representative."
rank,k,ids,parts,usd,total,percentile_within_k,synergy,emergent_keys,new_route_keys,multiplicity_incidental_keys,shared_phenomena,shared_kinds,compensation_channels,compensation_source,compensation_doubtful,failure_independence,tau_decades,time_mode,tau_confidence,tau_lower_bound,novelty,esp32_verdict,boards_that_fit,family_signature,deduped_into,equivalent_swaps,reasoning,confound
166,2,S378|S383,INA700 power monitor with on-die shunt|LEM IT 60-S ULTRASTAB fluxgate current transducer,904.0,0.47,99.797,1.0,,power-quality,,current-dc,differential,S378>S383:mains-hum@1|S378>S383:temperature-drift@1,prose,0,1.0,,unknown,none,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S378+S383,,,"INA700 power monitor with on-die shunt + LEM IT 60-S ULTRASTAB fluxgate current transducer: INA700 power monitor with on-die shunt measures `voltage`, which is exactly what fools LEM IT 60-S ULTRASTAB fluxgate current transducer (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); both read `current-dc` but through different physics (Shunt + ADC vs Hall effect), so the disagreement between them is itself the measurement; together they open a new route to `power-quality`; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Power-factor and quality monitor: Phase alignment between the two channels IS the measurement: sample simultaneously (one ADC, alternating) or the PF number is fiction. The correction is only as good as the co-location — INA700 power monitor with on-die shunt must sit in the same air/on the same surface as LEM IT 60-S ULTRASTAB fluxgate current transducer or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
167,2,S019|S278,LPS22HB pressure sensor|SEN66 six-in-one air module,76.0,0.46967,99.796,6.55,air-density|radon-risk-rising|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,bearing-failing|compost-active|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,,incidental,S019>S278:barometric-pressure@1,prose,0,0.75,2.301,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S278,S192|S278,,"LPS22HB pressure sensor + SEN66 six-in-one air module: LPS22HB pressure sensor measures `pressure-absolute`, which is exactly what fools SEN66 six-in-one air module (barometric pressure and altitude change); they both list `temperature-contact`, but it is incidental for LPS22HB pressure sensor — a register, not the thing the part is for — so it earns no shared-measurand credit; together they reach `air-density`, `radon-risk-rising`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` fire only by counting a capability that is INCIDENTAL for the part supplying it, and are discounted to near zero; their time constants differ by 2.3 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — LPS22HB pressure sensor must sit in the same air/on the same surface as SEN66 six-in-one air module or it is correcting a different place."
168,2,S089|S144,MAX9814 AGC mic amp|INA219 current/power monitor,9.5,0.46807,99.795,6.0,energy-waste-unoccupied|recording-authenticity,,,,,S144>S089:mains-hum@1,prose,0,1.0,0.526,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S089+S144,S089|S212,,"MAX9814 AGC mic amp + INA219 current/power monitor: INA219 current/power monitor measures `voltage`, which is exactly what fools MAX9814 AGC mic amp (mains hum, 50/60 hz pickup and supply ripple); together they reach `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 0.5 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — INA219 current/power monitor must sit in the same air/on the same surface as MAX9814 AGC mic amp or it is correcting a different place.
169,2,S089|S301,MAX9814 AGC mic amp|LSM6DSV16X IMU with on-chip fusion,27.0,0.468,99.793,0.0,,,,,,S301>S089:mains-hum@1|S301>S089:switching-emi@1|S301>S089:vibration-shock@1,prose,0,1.0,3.602,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S089+S301,,,"MAX9814 AGC mic amp + LSM6DSV16X IMU with on-chip fusion: LSM6DSV16X IMU with on-chip fusion measures `electric-field`, which is exactly what fools MAX9814 AGC mic amp (mains hum, 50/60 hz pickup and supply ripple), plus 2 further correction channel(s); their time constants differ by 3.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",The correction is only as good as the co-location — LSM6DSV16X IMU with on-chip fusion must sit in the same air/on the same surface as MAX9814 AGC mic amp or it is correcting a different place.
170,2,S018|S279,MS5611 high-res altimeter|STC31 percent-level CO2,34.0,0.46584,99.792,6.0,radon-risk-rising|window-open-state,,,,,S018>S279:barometric-pressure@1|S018>S279:temperature-drift@0.05,prose,0,0.832,2.085,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S279,S017|S279,,"MS5611 high-res altimeter + STC31 percent-level CO2: MS5611 high-res altimeter measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 2.1 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient temperature drift / temperature coefficient), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — MS5611 high-res altimeter must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place."
171,2,S019|S036,LPS22HB pressure sensor|SCD41 true CO2,31,0.46523,99.791,6.55,air-density|radon-risk-rising|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,bearing-failing|compost-active|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,,incidental,S019>S036:barometric-pressure@1,prose,0,0.713,3.0,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S036,S036|S192,,"LPS22HB pressure sensor + SCD41 true CO2: LPS22HB pressure sensor measures `pressure-absolute`, which is exactly what fools SCD41 true CO2 (barometric pressure and altitude change); they both list `temperature-contact`, but it is incidental for LPS22HB pressure sensor — a register, not the thing the part is for — so it earns no shared-measurand credit; together they reach `air-density`, `radon-risk-rising`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` fire only by counting a capability that is INCIDENTAL for the part supplying it, and are discounted to near zero; their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — LPS22HB pressure sensor must sit in the same air/on the same surface as SCD41 true CO2 or it is correcting a different place."
172,2,S190|S343,Si7021 humidity/temp|Omron D6T-32L 1024-pixel thermopile array,204.0,0.46471,99.79,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S190>S343:self-heating@1,prose,0,0.817,0.0,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S189+S343,S189|S343,,"Si7021 humidity/temp + Omron D6T-32L 1024-pixel thermopile array: Si7021 humidity/temp measures `temperature-contact`, which is exactly what fools Omron D6T-32L 1024-pixel thermopile array (self-heating of the sensor or its own board); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 0.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board), so agreement between them is NOT independent confirmation. Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — Si7021 humidity/temp must sit in the same air/on the same surface as Omron D6T-32L 1024-pixel thermopile array or it is correcting a different place."
173,2,S023|S283,BME688 gas + climate AI|Telaire T6713 I2C CO2,95.0,0.46425,99.789,6.0,radon-risk-rising|window-open-state,,,,,S023>S283:barometric-pressure@1,prose,0,0.75,4.539,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S023+S282,,S023+S282,"BME688 gas + climate AI + Telaire T6713 I2C CO2: BME688 gas + climate AI measures `pressure-absolute`, which is exactly what fools Telaire T6713 I2C CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 4.5 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME688 gas + climate AI must sit in the same air/on the same surface as Telaire T6713 I2C CO2 or it is correcting a different place.
174,2,S198|S329,MaxBotix MB7389 weather LV|FLIR Lepton 3.1R radiometric thermal module,290.0,0.46396,99.787,0.0,,,,,,S329>S198:sunlight-ir@1|S329>S198:temperature-drift@1|S198>S329:target-geometry@1,prose,0,0.733,3.03,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S198+S329,,,"MaxBotix MB7389 weather LV + FLIR Lepton 3.1R radiometric thermal module: FLIR Lepton 3.1R radiometric thermal module measures `temperature-remote`, which is exactly what fools MaxBotix MB7389 weather LV (sunlight and ambient infrared), plus 2 further correction channel(s); their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (multipath, reflections and ghost returns, ambient temperature drift / temperature coefficient), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — FLIR Lepton 3.1R radiometric thermal module must sit in the same air/on the same surface as MaxBotix MB7389 weather LV or it is correcting a different place."
175,2,S139|S191,Non-contact liquid level XKC-Y26|SHTC3 tiny low-power RH/T,12,0.46376,99.786,1.0,,plant-thirsty,,,,S191>S139:humidity@1|S191>S139:temperature-drift@1|S139>S191:water-immersion@1,prose,0,0.85,0.301,separated,low,yes,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S139+S191,,,"Non-contact liquid level XKC-Y26 + SHTC3 tiny low-power RH/T: SHTC3 tiny low-power RH/T measures `humidity-relative`, which is exactly what fools Non-contact liquid level XKC-Y26 (ambient humidity and condensation), plus 2 further correction channel(s); together they open a new route to `plant-thirsty`; their time constants differ by 0.3 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Temperature-corrected soil moisture: Fast rain during the calibration day corrupts the learned coefficient — pick a dry 24 h, or learn it under a cover. The correction is only as good as the co-location — SHTC3 tiny low-power RH/T must sit in the same air/on the same surface as Non-contact liquid level XKC-Y26 or it is correcting a different place."
176,2,S197|S343,US-100 ultrasonic w/ temp comp|Omron D6T-32L 1024-pixel thermopile array,204.0,0.46333,99.785,2.0,,sky-clear|stove-left-on,,,,S343>S197:sunlight-ir@1|S197>S343:self-heating@1,prose,0,0.75,2.699,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S056+S343,,,"US-100 ultrasonic w/ temp comp + Omron D6T-32L 1024-pixel thermopile array: Omron D6T-32L 1024-pixel thermopile array measures `temperature-remote`, which is exactly what fools US-100 ultrasonic w/ temp comp (sunlight and ambient infrared), plus 1 further correction channel(s); together they open a new route to `sky-clear`, `stove-left-on`; their time constants differ by 2.7 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (optical transparency or blackness of the target, sunlight and ambient infrared), so agreement between them is NOT independent confirmation. Sky thermometer cloud detector: Rain on the sensor window reads as total overcast; high thin cirrus reads half-way and fools the threshold. Angle it 10° off zenith with a rain shield. The correction is only as good as the co-location — Omron D6T-32L 1024-pixel thermopile array must sit in the same air/on the same surface as US-100 ultrasonic w/ temp comp or it is correcting a different place."
177,2,S018|S281,MS5611 high-res altimeter|SprintIR-W fast wide-range NDIR CO2,196.0,0.46329,99.784,6.0,radon-risk-rising|window-open-state,,,,,S018>S281:barometric-pressure@1,prose,0,0.9,0.784,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S281,,S016+S281|S017+S281|S192+S281|S019+S281,"MS5611 high-res altimeter + SprintIR-W fast wide-range NDIR CO2: MS5611 high-res altimeter measures `pressure-absolute`, which is exactly what fools SprintIR-W fast wide-range NDIR CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 0.8 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — MS5611 high-res altimeter must sit in the same air/on the same surface as SprintIR-W fast wide-range NDIR CO2 or it is correcting a different place.
178,2,S189|S192,AHT20 temp/humidity|BMP280 budget barometer,3.5,0.46322,99.782,5.75,air-density|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S189>S192:humidity@1,prose,0,0.806,2.497,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S189,,S190+S192|S017+S190|S017+S189|S016+S189|S016+S190|S018+S189|S018+S190|S019+S189,"AHT20 temp/humidity + BMP280 budget barometer: AHT20 temp/humidity measures `humidity-relative`, which is exactly what fools BMP280 budget barometer (ambient humidity and condensation); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 2.5 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — AHT20 temp/humidity must sit in the same air/on the same surface as BMP280 budget barometer or it is correcting a different place."
179,2,S016|S279,BMP390 precision barometer|STC31 percent-level CO2,38.0,0.46272,99.781,6.0,radon-risk-rising|window-open-state,,,,,S016>S279:barometric-pressure@1|S016>S279:temperature-drift@0.05,prose,0,0.806,2.079,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S279,S017|S279,,"BMP390 precision barometer + STC31 percent-level CO2: BMP390 precision barometer measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 2.1 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BMP390 precision barometer must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place."
180,2,S112|S148,MAX30102 pulse oximeter|PZEM-004T AC power module,17,0.46267,99.776,3.0,energy-waste-unoccupied,,,,,S148>S112:mains-hum@1|S148>S112:supply-voltage@1,prose,0,0.9,3.505,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S112+S148,,S118+S148,"MAX30102 pulse oximeter + PZEM-004T AC power module: PZEM-004T AC power module measures `voltage`, which is exactly what fools MAX30102 pulse oximeter (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 3.5 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — PZEM-004T AC power module must sit in the same air/on the same surface as MAX30102 pulse oximeter or it is correcting a different place.
181,2,S112|S212,MAX30102 pulse oximeter|INA3221 triple-channel power,10,0.46267,99.776,3.0,energy-waste-unoccupied,,,,,S212>S112:mains-hum@1|S212>S112:supply-voltage@1,prose,0,0.9,1.421,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S112+S144,,S112+S145|S112+S144|S118+S144|S118+S145|S118+S212,"MAX30102 pulse oximeter + INA3221 triple-channel power: INA3221 triple-channel power measures `voltage`, which is exactly what fools MAX30102 pulse oximeter (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 1.4 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — INA3221 triple-channel power must sit in the same air/on the same surface as MAX30102 pulse oximeter or it is correcting a different place.
182,2,S112|S213,MAX30102 pulse oximeter|ADS1115 16-bit ADC (the analog fixer),9,0.46267,99.776,3.0,energy-waste-unoccupied,,,,,S213>S112:mains-hum@1|S213>S112:supply-voltage@1,prose,0,0.9,1.097,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S112+S213,,S118+S213,"MAX30102 pulse oximeter + ADS1115 16-bit ADC (the analog fixer): ADS1115 16-bit ADC (the analog fixer) measures `voltage`, which is exactly what fools MAX30102 pulse oximeter (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 1.1 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — ADS1115 16-bit ADC (the analog fixer) must sit in the same air/on the same surface as MAX30102 pulse oximeter or it is correcting a different place.
183,2,S112|S257,MAX30102 pulse oximeter|Eastron SDM120-Modbus DIN energy meter,44.0,0.46267,99.776,3.0,energy-waste-unoccupied,,,,,S257>S112:mains-hum@1|S257>S112:supply-voltage@1,prose,0,0.9,3.505,separated,low,yes,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S112+S257,,S118+S257,"MAX30102 pulse oximeter + Eastron SDM120-Modbus DIN energy meter: Eastron SDM120-Modbus DIN energy meter measures `voltage`, which is exactly what fools MAX30102 pulse oximeter (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 3.5 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — Eastron SDM120-Modbus DIN energy meter must sit in the same air/on the same surface as MAX30102 pulse oximeter or it is correcting a different place.
184,2,S305|S311,IIS3DWB wideband vibration sensor|352C33 IEPE piezoelectric accelerometer,495.0,0.46217,99.775,0.75,leak-location,,,shock-impact|sound-structural|vibration,unverified,S305>S311:orientation-tilt@1|S305>S311:vibration-shock@1,prose,0,0.75,1.824,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S305+S311,,,"IIS3DWB wideband vibration sensor + 352C33 IEPE piezoelectric accelerometer: IIS3DWB wideband vibration sensor measures `acceleration`, which is exactly what fools 352C33 IEPE piezoelectric accelerometer (mounting orientation and tilt), plus 1 further correction channel(s); they share `shock-impact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; `leak-location` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 1.8 decades, scored as `separated` (a slow reference disciplining a fast channel).",Acoustic pipe-leak correlator: Plastic pipe attenuates and slows the wave (v drops to ~300–500 m/s and range shrinks): calibrate v with a deliberate tap at a known point first. The correction is only as good as the co-location — IIS3DWB wideband vibration sensor must sit in the same air/on the same surface as 352C33 IEPE piezoelectric accelerometer or it is correcting a different place.
185,2,S092|S148,DFRobot dB meter|PZEM-004T AC power module,48,0.46176,99.774,6.0,energy-waste-unoccupied|recording-authenticity,,,,,S148>S092:mains-hum@1,prose,0,1.0,0.301,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S092+S148,,,"DFRobot dB meter + PZEM-004T AC power module: PZEM-004T AC power module measures `voltage`, which is exactly what fools DFRobot dB meter (mains hum, 50/60 hz pickup and supply ripple); together they reach `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 0.3 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — PZEM-004T AC power module must sit in the same air/on the same surface as DFRobot dB meter or it is correcting a different place.
186,2,S012|S192,SHT41 humidity + temp|BMP280 budget barometer,7.5,0.46166,99.771,5.75,air-density|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S012>S192:humidity@1,prose,0,0.793,2.798,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S012+S016,,S014+S192|S014+S017|S012+S017|S014+S019|S012+S016|S012+S018|S012+S019|S014+S016,"SHT41 humidity + temp + BMP280 budget barometer: SHT41 humidity + temp measures `humidity-relative`, which is exactly what fools BMP280 budget barometer (ambient humidity and condensation); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 2.8 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — SHT41 humidity + temp must sit in the same air/on the same surface as BMP280 budget barometer or it is correcting a different place."
187,2,S014|S192,HDC3022 humidity + temp|BMP280 budget barometer,8.5,0.46166,99.771,5.75,air-density|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S014>S192:humidity@1,prose,0,0.793,3.673,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S012+S016,S012|S192,,"HDC3022 humidity + temp + BMP280 budget barometer: HDC3022 humidity + temp measures `humidity-relative`, which is exactly what fools BMP280 budget barometer (ambient humidity and condensation); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 3.7 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — HDC3022 humidity + temp must sit in the same air/on the same surface as BMP280 budget barometer or it is correcting a different place."
188,2,S037|S048,SCD30 NDIR CO2|TSL2591 high dynamic lux,47,0.46156,99.77,0.0,,,,,,S048>S037:ambient-light@1|S037>S048:humidity@1|S037>S048:temperature-drift@1,prose,0,0.713,1.222,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S037+S044,,S037+S045|S037+S044|S039+S048|S038+S044|S038+S045|S038+S048|S039+S045|S039+S044,"SCD30 NDIR CO2 + TSL2591 high dynamic lux: TSL2591 high dynamic lux measures `illuminance`, which is exactly what fools SCD30 NDIR CO2 (ambient or stray visible light), plus 2 further correction channel(s); their time constants differ by 1.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient or stray visible light, ambient humidity and condensation), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — TSL2591 high dynamic lux must sit in the same air/on the same surface as SCD30 NDIR CO2 or it is correcting a different place."
189,2,S023|S039,BME688 gas + climate AI|SenseAir S8 CO2,40,0.46154,99.769,6.0,radon-risk-rising|window-open-state,,,,,S023>S039:barometric-pressure@1,prose,0,0.75,4.635,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S023+S037,S023|S038,,"BME688 gas + climate AI + SenseAir S8 CO2: BME688 gas + climate AI measures `pressure-absolute`, which is exactly what fools SenseAir S8 CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 4.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME688 gas + climate AI must sit in the same air/on the same surface as SenseAir S8 CO2 or it is correcting a different place.
190,2,S016|S039,BMP390 precision barometer|SenseAir S8 CO2,35,0.46133,99.768,6.0,radon-risk-rising|window-open-state,,,,,S016>S039:barometric-pressure@1,prose,0,0.6,1.477,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S037,S038|S192,,"BMP390 precision barometer + SenseAir S8 CO2: BMP390 precision barometer measures `pressure-absolute`, which is exactly what fools SenseAir S8 CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 1.5 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change, sunlight and ambient infrared), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BMP390 precision barometer must sit in the same air/on the same surface as SenseAir S8 CO2 or it is correcting a different place."
