rank,objective,sensor_ids,sensors,n_parts,usd,pins,declared,emergent,score,lift,per_part,per_dollar,per_pin,emergent_keys,new_routes,fired_edges,notes,reasoning
21,score,S001|S023|S075|S144|S179|S182,DS18B20 digital temp probe|BME688 gas + climate AI|BNO086 high-perf fusion IMU|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802,6,76.0,5,65,7,72,55,12.0,0.947,14.4,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|material-type|snow-depth,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn,,"DS18B20 digital temp probe + BME688 gas + climate AI + BNO086 high-perf fusion IMU + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 5 ESP32 pins and $76; it spans 1-Wire + I2C + UART."
22,score,S023|S148|S179|S182|S206|S210,BME688 gas + climate AI|PZEM-004T AC power module|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|DS18B20 water temp + flow combo,6,78,7,61,11,72,55,12.0,0.923,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|snow-depth|water-leak,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"BME688 gas + climate AI + PZEM-004T AC power module + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + DS18B20 water temp + flow combo: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 11 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 5 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $78; it spans 1-Wire + I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
23,score,S023|S075|S179|S182|S210|S381,BME688 gas + climate AI|BNO086 high-perf fusion IMU|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|DS18B20 water temp + flow combo|BL0940 calibration-free mains metering IC,6,82.5,7,61,11,72,55,12.0,0.873,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|power-quality|snow-depth|water-leak,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,,"BME688 gas + climate AI + BNO086 high-perf fusion IMU + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + DS18B20 water temp + flow combo + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 11 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 6 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $82.5; it spans 1-Wire + I2C + UART."
24,score,S007|S072|S179|S197|S212|S235,MLX90614 IR thermometer|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power|Scent delivery + e-nose loop,6,100,6,64,8,72,57,12.0,0.72,12.0,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,compost-active|material-type,air-density-live|bearing-thermal|cloud-cover-ir|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Scent delivery + e-nose loop","MLX90614 IR thermometer + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power + Scent delivery + e-nose loop: the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 6 ESP32 pins and $100; it spans I2C + Pulse + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Scent delivery + e-nose loop."
25,score,S001|S072|S179|S197|S212|S278,DS18B20 digital temp probe|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power|SEN66 six-in-one air module,6,104.5,7,61,11,72,57,12.0,0.689,10.286,air-changes-hour|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|room-volume-estimate|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress|window-open-state,bearing-failing|material-type,ach-co2-decay|bearing-thermal|co2-room-volume|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|microclimate-grid|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn|window-detect,,"DS18B20 digital temp probe + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power + SEN66 six-in-one air module: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-map, plus 2 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 7 ESP32 pins and $104.5; it spans 1-Wire + I2C + Pulse + UART."
26,score,S013|S072|S179|S197|S212|S278,BME280 climate combo|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power|SEN66 six-in-one air module,6,108.0,6,59,13,72,57,12.0,0.667,12.0,air-changes-hour|air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|radon-risk-rising|room-volume-estimate|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress|window-open-state,bearing-failing|compost-active|material-type,ach-co2-decay|air-density-live|bearing-thermal|co2-room-volume|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|microclimate-grid|presence-two-physics|psychrometric-wetbulb|radon-fast-proxy|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn|window-detect,,"BME280 climate combo + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power + SEN66 six-in-one air module: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 7 more, unlocking energy-waste-unoccupied, presence-verified, radon-risk-rising, soil-water-volumetric, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 6 ESP32 pins and $108; it spans I2C + Pulse + UART."
27,score,S007|S072|S179|S197|S212|S278,MLX90614 IR thermometer|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power|SEN66 six-in-one air module,6,110.0,6,62,10,72,57,12.0,0.655,12.0,air-changes-hour|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|room-volume-estimate|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress|window-open-state,compost-active|material-type,ach-co2-decay|bearing-thermal|cloud-cover-ir|co2-room-volume|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn|window-detect,,"MLX90614 IR thermometer + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power + SEN66 six-in-one air module: the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 6 ESP32 pins and $110; it spans I2C + Pulse + UART."
28,score,S001|S023|S087|S182|S206|S379,DS18B20 digital temp probe|BME688 gas + climate AI|INMP441 I2S MEMS mic|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|ATM90E32AS polyphase energy metering AFE,6,44.5,8,59,12,71,54,11.833,1.596,8.875,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|recording-authenticity|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,material-type,air-density-live|bearing-thermal|building-ua|compost-core|enf-timestamp|grid-frequency-watch|helmholtz-level|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|soil-heat-pulse|unoccupied-burn|which-room-energy,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic|a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)","DS18B20 digital temp probe + BME688 gas + climate AI + INMP441 I2S MEMS mic + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + ATM90E32AS polyphase energy metering AFE: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 8 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 1 new route to outcomes it declares nowhere — 71 outcomes together against 17 for its best single member, a lift of 54. It costs 8 ESP32 pins and $44.5; it spans 1-Wire + I2C + I2S + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic."
29,score,S007|S013|S072|S179|S197|S212,MLX90614 IR thermometer|BME280 climate combo|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,46,6,63,8,71,56,11.833,1.543,11.833,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,compost-active|material-type,air-density-live|bearing-thermal|cloud-cover-ir|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn,,"MLX90614 IR thermometer + BME280 climate combo + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 71 outcomes together against 15 for its best single member, a lift of 56. It costs 6 ESP32 pins and $46; it spans I2C + Pulse + UART."
30,score,S001|S023|S072|S179|S182|S381,DS18B20 digital temp probe|BME688 gas + climate AI|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|BL0940 calibration-free mains metering IC,6,55.0,7,60,11,71,54,11.833,1.291,10.143,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|material-type|power-quality|snow-depth,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,,"DS18B20 digital temp probe + BME688 gas + climate AI + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 9 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 4 new routes to outcomes it declares nowhere — 71 outcomes together against 17 for its best single member, a lift of 54. It costs 7 ESP32 pins and $55; it spans 1-Wire + I2C + UART."
1,per_part,S087|S182,INMP441 I2S MEMS mic|Scale-hacking: NAU7802,2,15,5,28,3,31,14,15.5,2.067,6.2,grid-stress|presence-verified|recording-authenticity,,enf-timestamp|grid-frequency-watch|helmholtz-level|presence-two-physics,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic","INMP441 I2S MEMS mic + Scale-hacking: NAU7802: the set fires ENF recording authenticator, Two-physics presence verifier, unlocking presence-verified, recording-authenticity — 31 outcomes together against 17 for its best single member, a lift of 14. It costs 5 ESP32 pins and $15; it spans I2C + I2S. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic."
2,per_part,S144|S182,INA219 current/power monitor|Scale-hacking: NAU7802,2,14.5,2,28,2,30,13,15.0,2.069,15.0,energy-waste-unoccupied|grid-stress,,grid-frequency-watch|unoccupied-burn,,"INA219 current/power monitor + Scale-hacking: NAU7802: the set fires Empty-room energy auditor, unlocking energy-waste-unoccupied — 30 outcomes together against 17 for its best single member, a lift of 13. It costs 2 ESP32 pins and $14.5; all of it sits on I2C."
3,per_part,S179|S182,DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802,2,34,4,27,2,29,12,14.5,0.853,7.25,grid-stress|presence-verified,,gait-corridor|grid-frequency-watch|presence-two-physics,,"DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, unlocking presence-verified — 29 outcomes together against 17 for its best single member, a lift of 12. It costs 4 ESP32 pins and $34; it spans I2C + UART."
4,per_part,S098|S144,HX711 + load cell|INA219 current/power monitor,2,7.5,4,26,2,28,14,14.0,3.733,7.0,energy-waste-unoccupied|grid-stress,,grid-frequency-watch|unoccupied-burn,,"HX711 + load cell + INA219 current/power monitor: the set fires Empty-room energy auditor, unlocking energy-waste-unoccupied — 28 outcomes together against 14 for its best single member, a lift of 14. It costs 4 ESP32 pins and $7.5; it spans I2C + UART."
5,per_part,S091|S182,Piezo contact mic / disc|Scale-hacking: NAU7802,2,12.5,3,26,2,28,11,14.0,2.24,9.333,grid-stress|presence-verified,,grid-frequency-watch|presence-two-physics,,"Piezo contact mic / disc + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, unlocking presence-verified — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 3 ESP32 pins and $12.5; it spans Analog + I2C."
6,per_part,S072|S182,MPU-6050 6-axis IMU|Scale-hacking: NAU7802,2,14,2,27,1,28,11,14.0,2.0,14.0,grid-stress,,grid-frequency-watch,,"MPU-6050 6-axis IMU + Scale-hacking: NAU7802: the set adds cover without firing anything its members do not fire alone — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 2 ESP32 pins and $14; all of it sits on I2C."
7,per_part,S182|S212,Scale-hacking: NAU7802|INA3221 triple-channel power,2,16,2,26,2,28,11,14.0,1.75,14.0,energy-waste-unoccupied|grid-stress,,grid-frequency-watch|unoccupied-burn,,"Scale-hacking: NAU7802 + INA3221 triple-channel power: the set fires Empty-room energy auditor, unlocking energy-waste-unoccupied — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 2 ESP32 pins and $16; all of it sits on I2C."
8,per_part,S088|S182,ICS-43434 I2S mic|Scale-hacking: NAU7802,2,17,5,25,3,28,11,14.0,1.647,5.6,grid-stress|presence-verified|recording-authenticity,,enf-timestamp|grid-frequency-watch|helmholtz-level|presence-two-physics,,"ICS-43434 I2S mic + Scale-hacking: NAU7802: the set fires ENF recording authenticator, Two-physics presence verifier, unlocking presence-verified, recording-authenticity — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 5 ESP32 pins and $17; it spans I2C + I2S."
9,per_part,S007|S182,MLX90614 IR thermometer|Scale-hacking: NAU7802,2,20,2,26,2,28,11,14.0,1.4,14.0,grid-stress|presence-verified,,grid-frequency-watch|presence-two-physics|stove-watch,,"MLX90614 IR thermometer + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, unlocking presence-verified — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 2 ESP32 pins and $20; all of it sits on I2C."
10,per_part,S182|S210,Scale-hacking: NAU7802|DS18B20 water temp + flow combo,2,22,3,27,1,28,11,14.0,1.273,9.333,grid-stress,material-type|water-leak,grid-frequency-watch|leak-by-context|liquid-id-effusivity,,"Scale-hacking: NAU7802 + DS18B20 water temp + flow combo: the set fires Occupancy-gated leak detector, plus 2 new routes to outcomes it declares nowhere — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 3 ESP32 pins and $22; it spans 1-Wire + I2C."
11,per_part,S072|S179,MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar,2,24,4,28,0,28,13,14.0,1.167,7.0,,,gait-corridor|sleep-two-signal,,"MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar: the set fires Contactless sleep-stage estimator — 28 outcomes together against 15 for its best single member, a lift of 13. It costs 4 ESP32 pins and $24; it spans I2C + UART."
12,per_part,S144|S179,INA219 current/power monitor|DFRobot Gravity mmWave presence radar,2,24.5,4,26,2,28,14,14.0,1.143,7.0,energy-waste-unoccupied|grid-stress,gait-quality,gait-corridor|grid-frequency-watch|unoccupied-burn,,"INA219 current/power monitor + DFRobot Gravity mmWave presence radar: the set fires Empty-room energy auditor, unlocking energy-waste-unoccupied, plus 1 new route to outcomes it declares nowhere — 28 outcomes together against 14 for its best single member, a lift of 14. It costs 4 ESP32 pins and $24.5; it spans I2C + UART."
13,per_part,S073|S169,LSM6DSOX ML-core IMU|Grove Vision AI v2,2,26,2,28,0,28,13,14.0,1.077,14.0,,,,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2","LSM6DSOX ML-core IMU + Grove Vision AI v2: the set adds cover without firing anything its members do not fire alone — 28 outcomes together against 15 for its best single member, a lift of 13. It costs 2 ESP32 pins and $26; all of it sits on I2C. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2."
14,per_part,S073|S179,LSM6DSOX ML-core IMU|DFRobot Gravity mmWave presence radar,2,32,4,28,0,28,13,14.0,0.875,7.0,,,gait-corridor|sleep-two-signal,,"LSM6DSOX ML-core IMU + DFRobot Gravity mmWave presence radar: the set fires Contactless sleep-stage estimator — 28 outcomes together against 15 for its best single member, a lift of 13. It costs 4 ESP32 pins and $32; it spans I2C + UART."
15,per_part,S144|S179|S182,INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802,3,36.5,4,39,3,42,25,14.0,1.151,10.5,energy-waste-unoccupied|grid-stress|presence-verified,,gait-corridor|grid-frequency-watch|presence-two-physics|unoccupied-burn,,"INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, Empty-room energy auditor, unlocking energy-waste-unoccupied, presence-verified — 42 outcomes together against 17 for its best single member, a lift of 25. It costs 4 ESP32 pins and $36.5; it spans I2C + UART."
16,per_part,S181|S182,Time-of-flight gesture radar 60GHz|Scale-hacking: NAU7802,2,122,4,26,2,28,11,14.0,0.23,7.0,grid-stress|presence-verified,,grid-frequency-watch|presence-two-physics,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Time-of-flight gesture radar 60GHz","Time-of-flight gesture radar 60GHz + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, unlocking presence-verified — 28 outcomes together against 17 for its best single member, a lift of 11. It costs 4 ESP32 pins and $122; it spans I2C + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Time-of-flight gesture radar 60GHz."
17,per_part,S023|S182|S210,BME688 gas + climate AI|Scale-hacking: NAU7802|DS18B20 water temp + flow combo,3,37,3,36,5,41,24,13.667,1.108,13.667,air-density|grid-stress|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|water-leak,air-density-live|bearing-thermal|compost-core|grid-frequency-watch|house-thermal-constant|leak-by-context|liquid-id-effusivity|loop-heat-meter|psychrometric-wetbulb|soil-heat-pulse,,"BME688 gas + climate AI + Scale-hacking: NAU7802 + DS18B20 water temp + flow combo: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 4 more, unlocking soil-water-volumetric, thermal-time-constant, wet-bulb-heat-stress, plus 4 new routes to outcomes it declares nowhere — 41 outcomes together against 17 for its best single member, a lift of 24. It costs 3 ESP32 pins and $37; it spans 1-Wire + I2C."
18,per_part,S144|S181|S182,INA219 current/power monitor|Time-of-flight gesture radar 60GHz|Scale-hacking: NAU7802,3,124.5,4,38,3,41,24,13.667,0.329,10.25,energy-waste-unoccupied|grid-stress|presence-verified,,grid-frequency-watch|presence-two-physics|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Time-of-flight gesture radar 60GHz","INA219 current/power monitor + Time-of-flight gesture radar 60GHz + Scale-hacking: NAU7802: the set fires Two-physics presence verifier, Empty-room energy auditor, unlocking energy-waste-unoccupied, presence-verified — 41 outcomes together against 17 for its best single member, a lift of 24. It costs 4 ESP32 pins and $124.5; it spans I2C + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Time-of-flight gesture radar 60GHz."
19,per_part,S087|S181|S182,INMP441 I2S MEMS mic|Time-of-flight gesture radar 60GHz|Scale-hacking: NAU7802,3,125,7,38,3,41,24,13.667,0.328,5.857,grid-stress|presence-verified|recording-authenticity,breathing-stopped,apnea-two-channel|enf-timestamp|grid-frequency-watch|helmholtz-level|presence-two-physics,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic, Time-of-flight gesture radar 60GHz","INMP441 I2S MEMS mic + Time-of-flight gesture radar 60GHz + Scale-hacking: NAU7802: the set fires Two-channel breathing sentinel, ENF recording authenticator, Two-physics presence verifier, unlocking presence-verified, recording-authenticity, plus 1 new route to outcomes it declares nowhere — 41 outcomes together against 17 for its best single member, a lift of 24. It costs 7 ESP32 pins and $125; it spans I2C + I2S + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic, Time-of-flight gesture radar 60GHz."
20,per_part,S072|S098,MPU-6050 6-axis IMU|HX711 + load cell,2,7,4,27,0,27,12,13.5,3.857,6.75,,,,,"MPU-6050 6-axis IMU + HX711 + load cell: the set adds cover without firing anything its members do not fire alone — 27 outcomes together against 15 for its best single member, a lift of 12. It costs 4 ESP32 pins and $7; it spans I2C + UART."
21,per_part,S087|S098,INMP441 I2S MEMS mic|HX711 + load cell,2,8,5,26,1,27,13,13.5,3.375,5.4,presence-verified,,helmholtz-level|presence-two-physics,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic","INMP441 I2S MEMS mic + HX711 + load cell: the set fires Two-physics presence verifier, unlocking presence-verified — 27 outcomes together against 14 for its best single member, a lift of 13. It costs 5 ESP32 pins and $8; it spans I2S + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — INMP441 I2S MEMS mic."
22,per_part,S073|S085,LSM6DSOX ML-core IMU|Reed switch,2,10.5,3,27,0,27,12,13.5,2.571,9.0,,,,,"LSM6DSOX ML-core IMU + Reed switch: the set adds cover without firing anything its members do not fire alone — 27 outcomes together against 15 for its best single member, a lift of 12. It costs 3 ESP32 pins and $10.5; it spans Digital + I2C."
23,per_part,S076|S182,ADXL345 accelerometer|Scale-hacking: NAU7802,2,15,2,26,1,27,10,13.5,1.8,13.5,grid-stress,,grid-frequency-watch,a level translator is needed — not a 3.3V-native signal — ADXL345 accelerometer,"ADXL345 accelerometer + Scale-hacking: NAU7802: the set adds cover without firing anything its members do not fire alone — 27 outcomes together against 17 for its best single member, a lift of 10. It costs 2 ESP32 pins and $15; all of it sits on I2C. Caveat: a level translator is needed — not a 3.3V-native signal — ADXL345 accelerometer."
24,per_part,S072|S169,MPU-6050 6-axis IMU|Grove Vision AI v2,2,18,2,27,0,27,12,13.5,1.5,13.5,,,,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2","MPU-6050 6-axis IMU + Grove Vision AI v2: the set adds cover without firing anything its members do not fire alone — 27 outcomes together against 15 for its best single member, a lift of 12. It costs 2 ESP32 pins and $18; all of it sits on I2C. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2."
25,per_part,S182|S207,Scale-hacking: NAU7802|KX132 low-power accel,2,18,2,26,1,27,10,13.5,1.5,13.5,grid-stress,,grid-frequency-watch,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — KX132 low-power accel","Scale-hacking: NAU7802 + KX132 low-power accel: the set adds cover without firing anything its members do not fire alone — 27 outcomes together against 17 for its best single member, a lift of 10. It costs 2 ESP32 pins and $18; all of it sits on I2C. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — KX132 low-power accel."
26,per_part,S144|S169,INA219 current/power monitor|Grove Vision AI v2,2,18.5,2,25,2,27,13,13.5,1.459,13.5,energy-waste-unoccupied|grid-stress,,grid-frequency-watch|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2","INA219 current/power monitor + Grove Vision AI v2: the set fires Empty-room energy auditor, unlocking energy-waste-unoccupied — 27 outcomes together against 14 for its best single member, a lift of 13. It costs 2 ESP32 pins and $18.5; all of it sits on I2C. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2."
27,per_part,S089|S182,MAX9814 AGC mic amp|Scale-hacking: NAU7802,2,19,3,24,3,27,10,13.5,1.421,9.0,grid-stress|presence-verified|recording-authenticity,,enf-timestamp|grid-frequency-watch|helmholtz-level|presence-two-physics,ADC1 only — ADC2 is dead while Wi-Fi is running — MAX9814 AGC mic amp,"MAX9814 AGC mic amp + Scale-hacking: NAU7802: the set fires ENF recording authenticator, Two-physics presence verifier, unlocking presence-verified, recording-authenticity — 27 outcomes together against 17 for its best single member, a lift of 10. It costs 3 ESP32 pins and $19; it spans Analog + I2C. Caveat: ADC1 only — ADC2 is dead while Wi-Fi is running — MAX9814 AGC mic amp."
