sensor_id,sensor,usd,category,n_outcomes,outcomes_per_dollar,outcome_keys
S193,TSL2561 lux sensor,4,Light & UV,6,1.5,device-left-on|light-dose-daily|machine-running|occupancy-duration|sky-clear|someone-present
S194,MAX44009 ultra-low-power lux,3,Light & UV,6,2.0,device-left-on|energy-budget-node|light-dose-daily|machine-running|sky-clear|someone-present
S195,SI1145 UV/IR/visible,8,Light & UV,6,0.75,device-left-on|light-dose-daily|object-present|sky-clear|someone-present|uv-exposure
S209,KY-037/038 sound modules,1,Sound & Audio,6,6.0,cycle-complete|glass-broken|machine-running|machine-state|someone-present|unusual-sound
S213,ADS1115 16-bit ADC (the analog fixer),3,Power & Electrical,6,2.0,battery-charge|drift-from-baseline|object-temperature|power-now|water-nutrients|water-ph
S219,Inductive proximity switch M12/M18,2.5,Industrial & Automotive,6,2.4,cycle-complete|door-state|machine-running|object-count|object-present|rotation-speed
S220,Photoelectric beam sensor E18-D80NK,3,Industrial & Automotive,6,2.0,container-fullness|crossed-boundary|object-count|object-present|perimeter-crossed|vehicle-approaching
S231,Capacitive rain/condensation plate,3,Frontier Sensing,6,2.0,disease-pressure|drift-from-baseline|frost-tonight|is-raining|mould-risk|water-leak
S257,Eastron SDM120-Modbus DIN energy meter,38.0,Industrial & Automotive,6,0.16,abnormal-current|device-left-on|energy-cost|power-now|power-quality|which-appliance
S261,Through-beam photoelectric pair,95.0,Industrial & Automotive,6,0.06,crossed-boundary|intrusion|object-count|object-present|perimeter-crossed|vehicle-approaching
S267,M6E-Nano UHF RAIN RFID reader,275.0,Identity & Tags,6,0.02,asset-location|consumable-remaining|crossed-boundary|object-count|object-identity|object-present
S275,nRF52 BLE beacon tag,8.0,Identity & Tags,6,0.75,asset-location|entered-or-left|occupancy-duration|someone-present|where-in-room|who-is-it
S277,SEN55 all-in-one air node,50.0,Particulate,6,0.12,air-stuffy|cooking-detected|mould-risk|particulate-level|smoke-present|voc-event
S278,SEN66 six-in-one air module,70.0,CO2,6,0.09,air-stuffy|cooking-detected|how-many-people|particulate-level|ventilation-adequate|voc-event
S285,BME690 gas + climate,22.0,Gas & VOC,6,0.27,air-stuffy|cooking-detected|food-fresh|mould-risk|smell-signature|voc-event
S332,VL53L4CX multi-target ToF,15.0,Distance & Ranging,6,0.4,crossed-boundary|entered-or-left|how-many-people|object-present|obstacle-ahead|tank-level
S336,RPLIDAR A1 360 degree triangulation LiDAR,99.0,Distance & Ranging,6,0.06,how-many-people|intrusion|map-surroundings|object-count|obstacle-ahead|where-in-room
S338,Livox Mid-360 3D LiDAR,749.0,Distance & Ranging,6,0.01,asset-location|growth-rate|map-surroundings|obstacle-ahead|structure-moved|where-in-room
S339,Acconeer XM125 pulsed coherent radar,70.0,Distance & Ranging,6,0.09,breathing-rate|container-fullness|object-present|someone-still-present|tank-level|through-wall-motion
S340,RD-03D 24GHz multi-target tracking radar,9.0,Presence & Occupancy,6,0.67,entered-or-left|how-many-people|occupancy-duration|queue-length|someone-present|where-in-room
S341,HLK-LD2412 24GHz presence radar,7.0,Presence & Occupancy,6,0.86,device-left-on|no-movement-alarm|occupancy-duration|someone-present|someone-still-present|through-wall-motion
S342,HLK-LD6001A 60GHz fall-detection radar,35.0,Presence & Occupancy,6,0.17,how-many-people|no-movement-alarm|person-fell|posture|someone-still-present|where-in-room
S343,Omron D6T-32L 1024-pixel thermopile array,200.0,Presence & Occupancy,6,0.03,how-many-people|occupancy-duration|overheating|person-fell|someone-still-present|where-in-room
S344,FDC2214 capacitive proximity front-end,15.0,Presence & Occupancy,6,0.4,door-state|material-type|moisture-content|object-present|someone-present|tank-level
S345,TI AWR1642 77GHz automotive radar EVM,299.0,Distance & Ranging,6,0.02,how-fast-moving|map-surroundings|object-count|obstacle-ahead|vehicle-approaching|vehicle-speed
S378,INA700 power monitor with on-die shunt,4.0,Power & Electrical,6,1.5,abnormal-current|battery-charge|energy-budget-node|machine-running|phantom-load|power-now
S380,ADE7953 dual-channel single-phase energy meter,3.5,Power & Electrical,6,1.71,device-left-on|energy-cost|phantom-load|power-now|solar-performance|which-appliance
S008,MLX90632 miniature IR temp,14,Temperature,5,0.36,body-temp-trend|machine-running|object-temperature|overheating|someone-present
S016,BMP390 precision barometer,10,Pressure & Altitude,5,0.5,door-state|how-high|storm-approaching|structure-moved|ventilation-adequate
S022,XGZP6897D low-range diff pressure,6,Pressure & Altitude,5,0.83,air-leak|door-state|filter-clogged|machine-state|ventilation-adequate
S026,MQ-2 smoke/LPG gas,2,Gas & VOC,5,2.5,cooking-detected|gas-leak|smoke-present|stove-left-on|voc-event
S038,MH-Z19C budget NDIR CO2,18,CO2,5,0.28,air-stuffy|how-many-people|occupancy-duration|someone-present|ventilation-adequate
S039,SenseAir S8 CO2,25,CO2,5,0.2,air-stuffy|how-many-people|occupancy-duration|someone-present|ventilation-adequate
S040,PMS5003 particulate,15,Particulate,5,0.33,cooking-detected|filter-clogged|particulate-level|smoke-present|ventilation-adequate
S041,SPS30 premium PM,45,Particulate,5,0.11,cooking-detected|filter-clogged|particulate-level|smoke-present|ventilation-adequate
S044,BH1750 lux sensor,2.5,Light & UV,5,2.0,device-left-on|door-state|light-dose-daily|machine-running|sky-clear
S046,LTR-390 UV + ambient,5,Light & UV,5,1.0,device-left-on|light-dose-daily|machine-running|sky-clear|uv-exposure
S047,GUVA-S12SD UV analog,4,Light & UV,5,1.25,coating-cured|device-left-on|machine-running|sky-clear|uv-exposure
S050,AS7331 spectral UV,27.5,Light & UV,5,0.18,device-left-on|drift-from-baseline|machine-running|uv-exposure|water-sanitised
S054,APDS-9960 gesture/color/prox,6,Colour & Spectral,5,0.83,colour-match|crossed-boundary|object-count|object-present|someone-present
S066,AM312 mini PIR,2,Presence & Occupancy,5,2.5,crossed-boundary|intrusion|no-movement-alarm|occupancy-duration|someone-present
S114,MAX30205 clinical body temp,9,Biometric & Health,5,0.56,body-temp-trend|drift-from-baseline|object-temperature|overheating|someone-present
S117,MLX90614 forehead mode,25,Biometric & Health,5,0.2,body-temp-trend|fire-present|object-temperature|overheating|someone-present
S118,Pulse sensor (PPG classic),5,Biometric & Health,5,1.0,heart-rate|heart-variability|object-present|someone-present|stress-arousal
S128,Pyranometer (solar irradiance),60,Weather & Outdoor,5,0.08,energy-budget-node|light-dose-daily|sky-clear|solar-performance|solar-resource
S129,Capacitive soil moisture v2,2,Soil & Agriculture,5,2.5,drift-from-baseline|growth-rate|moisture-content|plant-thirsty|water-leak
S133,Compost / hay temp lance,15,Soil & Agriculture,5,0.33,compost-active|cycle-complete|drift-from-baseline|fire-present|overheating
S155,VL6180X short-range ToF,8,Position & Rotation,5,0.62,container-fullness|object-present|obstacle-ahead|someone-present|tank-level
S162,MLX90641 thermal (16x12),60,Thermal Imaging,5,0.08,how-many-people|machine-state|overheating|someone-present|stove-left-on
S166,OV5640 5MP autofocus cam,15,Cameras & Vision,5,0.33,colour-match|growth-rate|object-genuine|object-identity|object-present
S170,Geiger counter kit,25,Radiation & Nuclear,5,0.2,contamination|cosmic-flux|drift-from-baseline|object-material|radiation-dose
S217,MAX86150 ECG+PPG combo,23,Biometric & Health,5,0.22,blood-oxygen|breathing-rate|heart-rate|heart-variability|stress-arousal
S221,Through-beam slot / photo-interrupter,1,Industrial & Automotive,5,5.0,crossed-boundary|cycle-complete|flow-rate|object-count|rotation-speed
S227,Color-changing material readers,10,Materials & Textiles,5,0.5,colour-match|contamination|food-fresh|water-nutrients|water-ph
S228,Wi-Fi CSI sensing (the router IS the sensor),0,Frontier Sensing,5,10.0,breathing-rate|how-many-people|person-fell|someone-present|through-wall-motion
S240,DW1000 UWB two-way ranging radio,40.0,GNSS & Positioning,5,0.12,asset-location|how-far-travelled|object-present|returned-to-spot|where-in-room
S241,DW3000 UWB ranging radio (FiRa generation),48.0,GNSS & Positioning,5,0.1,asset-location|authorised-to-use|returned-to-spot|where-in-room|who-is-it
S242,DWM1001C UWB module with ready-made RTLS firmware,22.0,GNSS & Positioning,5,0.23,asset-location|how-far-travelled|object-moved|occupancy-duration|where-in-room
S243,SAM-M10Q GNSS with integrated patch antenna,40.0,GNSS & Positioning,5,0.12,asset-location|how-far-travelled|how-fast-moving|how-high|where-am-i
S244,ZED-F9R dead-reckoning GNSS,280.0,GNSS & Positioning,5,0.02,asset-location|how-far-travelled|how-fast-moving|where-am-i|which-way-facing
S245,ZED-X20P all-band centimetre GNSS,90.0,GNSS & Positioning,5,0.06,am-i-level|how-far-travelled|returned-to-spot|structure-moved|where-am-i
S246,LC29H(DA) low-cost L1+L5 RTK rover,55.0,GNSS & Positioning,5,0.09,asset-location|how-fast-moving|returned-to-spot|structure-moved|where-am-i
S247,UM980 triple-band RTK receiver,200.0,GNSS & Positioning,5,0.03,am-i-level|how-far-travelled|returned-to-spot|structure-moved|where-am-i
S248,UM982 dual-antenna RTK with true heading,260.0,GNSS & Positioning,5,0.02,am-i-level|how-fast-moving|structure-moved|where-am-i|which-way-facing
S249,BN-880 GNSS module with on-board compass,20.0,GNSS & Positioning,5,0.25,asset-location|how-far-travelled|how-fast-moving|where-am-i|which-way-facing
S252,ANT-B10 Bluetooth angle-of-arrival anchor,90.0,GNSS & Positioning,5,0.06,asset-location|entered-or-left|occupancy-duration|where-in-room|who-is-it
S253,Wi-Fi and magnetic fingerprint positioning,5.0,GNSS & Positioning,5,1.0,asset-location|how-high|magnetic-anomaly|returned-to-spot|where-in-room
S254,4-20mA loop pressure transmitter,150.0,Industrial & Automotive,5,0.03,drift-from-baseline|filter-clogged|machine-state|pump-dry|tank-level
S255,Submersible hydrostatic level transmitter,70.0,Industrial & Automotive,5,0.07,container-fullness|flood-rising|pump-dry|tank-level|water-used-total
S259,Capacitive proximity switch M18,7.0,Industrial & Automotive,5,0.71,container-fullness|material-type|object-count|object-present|tank-level
S260,Retro-reflective photoelectric sensor,70.0,Industrial & Automotive,5,0.07,crossed-boundary|door-state|object-count|object-present|vehicle-approaching
S262,Type 4 safety light curtain,800.0,Industrial & Automotive,5,0.01,crossed-boundary|cycle-complete|machine-state|perimeter-crossed|someone-present
S263,4-wire PT100 RTD probe with thermowell,25.0,Industrial & Automotive,5,0.2,drift-from-baseline|machine-state|overheating|thermal-energy-moved|water-hot-enough
S264,Vibrating-fork level switch,90.0,Industrial & Automotive,5,0.06,container-fullness|cycle-complete|pump-dry|tank-level|water-leak
S265,Stainless vertical float level switch,5.0,Industrial & Automotive,5,1.0,container-fullness|flood-rising|pump-dry|tank-level|water-leak
S266,Paddle flow switch,12.0,Industrial & Automotive,5,0.42,filter-clogged|flow-rate|machine-running|pump-dry|water-leak
S269,PN5180 long-range NFC / ISO15693 reader,12.0,Identity & Tags,5,0.42,authorised-to-use|object-genuine|object-identity|object-present|who-is-it
S286,Alphasense PID-AH2 photoionisation VOC,320.0,Gas & VOC,5,0.02,air-leak|contamination|formaldehyde-level|smell-signature|voc-event
S294,PMS7003 laser particle counter,20.0,Particulate,5,0.25,cooking-detected|filter-clogged|fire-present|particulate-level|smoke-present
S296,Alphasense OPC-N3 optical particle counter,500.0,Particulate,5,0.01,contamination|disease-pressure|heat-island|particulate-level|smoke-present
S298,BMI323 6-axis IMU,8.0,Motion & Vibration,5,0.62,machine-running|object-moved|posture|step-count|tamper-detected
S299,BMA400 ultra-low-power accelerometer,13.0,Motion & Vibration,5,0.38,door-state|machine-running|object-moved|step-count|tamper-detected
S300,BMM350 TMR magnetometer,7.0,Magnetic & Compass,5,0.71,door-state|hidden-wiring|magnetic-anomaly|object-moved|which-way-facing
S301,LSM6DSV16X IMU with on-chip fusion,20.0,Motion & Vibration,5,0.25,gait-quality|object-moved|posture|step-count|which-way-facing
S302,LSM6DSO32 high-range IMU,13.0,Motion & Vibration,5,0.38,how-fast-moving|machine-state|object-dropped|object-moved|which-way-facing
S303,LIS2DW12 nanoamp accelerometer,6.0,Motion & Vibration,5,0.83,door-state|object-moved|person-fell|step-count|tamper-detected
S304,ISM330DHCX industrial IMU,20.0,Motion & Vibration,5,0.25,drift-from-baseline|imbalance|machine-duty-cycle|machine-state|object-moved
S305,IIS3DWB wideband vibration sensor,45.0,Motion & Vibration,5,0.11,bearing-failing|belt-slipping|drift-from-baseline|imbalance|lubrication-failing
S306,ICM-42688-P low-noise IMU,10.0,Motion & Vibration,5,0.5,how-fast-moving|imbalance|object-moved|rotation-speed|which-way-facing
S307,ICM-45686 premium 6-axis IMU,12.0,Motion & Vibration,5,0.42,drift-from-baseline|how-fast-moving|machine-state|object-dropped|which-way-facing
S308,ADXL1002 wideband analog vibration sensor,95.0,Motion & Vibration,5,0.05,bearing-failing|drift-from-baseline|imbalance|lubrication-failing|machine-state
S309,ADXL1005 ultra-wideband analog accelerometer,110.0,Motion & Vibration,5,0.05,air-leak|arc-or-discharge|bearing-failing|drift-from-baseline|imbalance
S310,ADIS16505-2 tactical-grade IMU,825.0,Motion & Vibration,5,0.01,how-far-travelled|how-fast-moving|returned-to-spot|structure-moved|which-way-facing
S311,352C33 IEPE piezoelectric accelerometer,450.0,Motion & Vibration,5,0.01,bearing-failing|drift-from-baseline|imbalance|lubrication-failing|machine-state
S312,SCA3300 industrial inclinometer/accelerometer,50.0,Motion & Vibration,5,0.1,am-i-level|machine-state|object-moved|posture|structure-moved
S314,L3GD20H gyro-only 3-axis,20.0,Motion & Vibration,5,0.25,imbalance|machine-state|rotation-speed|tremor-present|which-way-facing
S315,AS7265x 18-channel spectral triad,69.95,Colour & Spectral,5,0.07,colour-match|contamination|fruit-ripe|material-type|object-material
S317,Hamamatsu C12880MA micro-spectrometer,330.0,Colour & Spectral,5,0.02,colour-match|concentration-liquid|contamination|material-type|object-genuine
S325,MLX90621 16x4 fast thermal array,60.0,Thermal Imaging,5,0.08,crossed-boundary|machine-state|object-temperature|overheating|someone-present
S326,Heimann HTPA32x32d thermopile array,140.0,Thermal Imaging,5,0.04,how-many-people|object-temperature|overheating|someone-still-present|where-in-room
S327,Heimann HTPA80x64d thermopile array,350.0,Thermal Imaging,5,0.01,how-many-people|object-temperature|overheating|person-fell|where-in-room
S328,SenXor MI0801 CMOS thermal imager,95.0,Thermal Imaging,5,0.05,how-many-people|object-temperature|overheating|person-fell|someone-still-present
S329,FLIR Lepton 3.1R radiometric thermal module,180.0,Thermal Imaging,5,0.03,drift-from-baseline|fire-present|how-many-people|object-temperature|overheating
S330,InfiRay P2 Pro USB-C thermal camera,270.0,Thermal Imaging,5,0.02,drift-from-baseline|filter-clogged|object-temperature|overheating|someone-present
S331,VL53L4CD short-range precision ToF,12.0,Distance & Ranging,5,0.42,consumable-remaining|container-fullness|crossed-boundary|object-present|obstacle-ahead
S334,PMW3901 optical flow,25.0,Distance & Ranging,5,0.2,how-far-travelled|how-fast-moving|object-moved|returned-to-spot|structure-moved
S335,PAA5100JE near-field optical flow,25.0,Distance & Ranging,5,0.2,how-far-travelled|how-fast-moving|machine-state|object-moved|returned-to-spot
S362,MAX30001 ECG + bioimpedance AFE,45.0,Biometric & Health,5,0.11,breathing-rate|breathing-stopped|heart-rate|heart-variability|sleep-stage-proxy
S367,OpenBCI Cyton 8-channel biosensing board,499.0,Biometric & Health,5,0.01,blink-or-eye-move|heart-rate|muscle-effort|sleep-stage-proxy|stress-arousal
S373,Ferroelectret bed sensor (ballistocardiography),130.0,Biometric & Health,5,0.04,breathing-rate|breathing-stopped|heart-rate|no-movement-alarm|person-asleep
S395,Tactile pressure array,25.0,Force & Weight,5,0.2,gait-quality|object-identity|object-present|posture|someone-present
S009,TMP36 analog temp,1.5,Temperature,4,2.67,drift-from-baseline|frost-tonight|object-temperature|overheating
S017,DPS310 barometer,7,Pressure & Altitude,4,0.57,door-state|how-high|storm-approaching|ventilation-adequate
S018,MS5611 high-res altimeter,6,Pressure & Altitude,4,0.67,door-state|how-fast-moving|how-high|storm-approaching
S027,MQ-3 alcohol sensor,2.5,Gas & VOC,4,1.6,cycle-complete|food-fresh|smell-signature|voc-event
S028,MQ-7 carbon monoxide,2.5,Gas & VOC,4,1.6,co-present|gas-leak|machine-running|smoke-present
S055,OPT4048 tristimulus color,9,Colour & Spectral,4,0.44,colour-match|drift-from-baseline|light-dose-daily|sky-clear
S105,TTP223 single touch,0.5,Touch & Capacitive,4,8.0,door-state|object-present|someone-present|tamper-detected
S107,Trill flexible touch sliders,20,Touch & Capacitive,4,0.2,object-moved|object-present|someone-present|tank-level
S116,GSR / EDA sensor,10,Biometric & Health,4,0.4,hydration-proxy|sleep-stage-proxy|someone-present|stress-arousal
S123,Tipping bucket rain gauge,12,Weather & Outdoor,4,0.33,disease-pressure|flood-rising|is-raining|plant-thirsty
S125,ML8511 / VEML6075 UV outdoor,6,Weather & Outdoor,4,0.67,coating-cured|sky-clear|solar-resource|uv-exposure
S127,Leaf wetness sensor,15,Weather & Outdoor,4,0.27,disease-pressure|frost-tonight|is-raining|mould-risk
S132,DS18B20 soil temp spear,5,Soil & Agriculture,4,0.8,compost-active|frost-tonight|growth-rate|soil-ready-to-plant
S239,Dissolved oxygen kit (Atlas EZO-DO),170,Water & Liquid,4,0.02,compost-active|contamination|livestock-wellbeing|water-oxygen
S137,Turbidity sensor,12,Water & Liquid,4,0.33,contamination|cycle-complete|filter-clogged|water-clarity
S141,Water leak rope sensor,10,Water & Liquid,4,0.4,flood-rising|mould-risk|perimeter-crossed|water-leak
S142,Ultrasonic liquid (through-wall),25,Water & Liquid,4,0.16,consumable-remaining|container-fullness|pump-dry|tank-level
S150,MAX471 / shunt + ADS1115,3,Power & Electrical,4,1.33,abnormal-current|battery-charge|machine-running|power-now
S152,AS5600 magnetic angle,3,Position & Rotation,4,1.33,am-i-level|object-moved|rotation-speed|which-way-facing
S153,600/1024PPR optical encoder,12,Position & Rotation,4,0.33,how-far-travelled|machine-duty-cycle|machine-running|rotation-speed
S164,D6T thermal presence,55,Thermal Imaging,4,0.07,how-many-people|no-movement-alarm|occupancy-duration|someone-present
S171,RD200 radon sensor,180,Radiation & Nuclear,4,0.02,drift-from-baseline|radon-level|routine-broken|ventilation-adequate
S184,MQ-8 hydrogen sensor,4,Gas & VOC,4,1.0,battery-health|drift-from-baseline|gas-leak|voc-event
S187,Muon detector (CosmicWatch),100,Radiation & Nuclear,4,0.04,cosmic-flux|drift-from-baseline|how-high|radiation-dose
S199,MQ-4 methane / natural gas,2.5,Gas & VOC,4,1.6,cooking-detected|gas-leak|stove-left-on|voc-event
S201,MQ-131 ozone,30,Gas & VOC,4,0.13,air-stuffy|ozone-present|particulate-level|voc-event
S223,Tire pressure TPMS receivers,10,Industrial & Automotive,4,0.4,drift-from-baseline|machine-state|object-identity|overheating
S224,Oil/quality dielectric probe,12,Industrial & Automotive,4,0.33,contamination|drift-from-baseline|lubrication-failing|moisture-content
S225,Conductive thread + fabric pads,8,Materials & Textiles,4,0.5,object-moved|object-present|posture|someone-present
S229,ESP32 internal sensors (free!),0,Frontier Sensing,4,8.0,object-present|overheating|someone-present|who-is-it
S233,Soil/water nitrate ion-selective,90,Water & Liquid,4,0.04,concentration-liquid|contamination|soil-fertility|water-nutrients
S237,Atmospheric electricity (field mill lite),15,Frontier Sensing,4,0.27,atmospheric-charge|drift-from-baseline|someone-present|storm-approaching
S256,XY-MD02 Modbus RTU temperature & humidity transmitter,11.0,Industrial & Automotive,4,0.36,drift-from-baseline|mould-risk|too-dry|ventilation-adequate
S268,YRM100 low-cost UHF reader module,32.0,Identity & Tags,4,0.12,asset-location|object-count|object-identity|object-present
S270,ST25DV64K dual-interface NFC tag,8.0,Identity & Tags,4,0.5,authorised-to-use|object-genuine|object-identity|tamper-detected
S272,134.2kHz FDX-B animal microchip reader,35.0,Identity & Tags,4,0.11,entered-or-left|livestock-wellbeing|object-identity|who-is-it
S273,Wiegand-26 access control reader,20.0,Identity & Tags,4,0.2,authorised-to-use|entered-or-left|intrusion|who-is-it
S279,STC31 percent-level CO2,28.0,CO2,4,0.14,compost-active|drift-from-baseline|gas-leak|ventilation-adequate
S280,STCC4 low-cost percent CO2,18.0,CO2,4,0.22,compost-active|container-fullness|gas-leak|ventilation-adequate
S281,SprintIR-W fast wide-range NDIR CO2,190.0,CO2,4,0.02,breathing-rate|compost-active|gas-leak|ventilation-adequate
S282,SenseAir K30 NDIR CO2,95.0,CO2,4,0.04,air-stuffy|how-many-people|someone-present|ventilation-adequate
S283,Telaire T6713 I2C CO2,80.0,CO2,4,0.05,air-stuffy|how-many-people|occupancy-duration|ventilation-adequate
S284,Cubic CM1107N dual-beam CO2,30.0,CO2,4,0.13,air-stuffy|how-many-people|someone-present|ventilation-adequate
S287,MPS flammable gas and refrigerant sensor,85.0,Gas & VOC,4,0.05,air-leak|contamination|drift-from-baseline|gas-leak
S290,Alphasense NO2-B43F electrochemical cell,120.0,Gas & VOC,4,0.03,contamination|heat-island|particulate-level|vehicle-approaching
S292,Winsen ZE03-NH3 ammonia module,40.0,Gas & VOC,4,0.1,compost-active|contamination|livestock-wellbeing|smell-signature
S295,Honeywell HPM particulate sensor,40.0,Particulate,4,0.1,cooking-detected|filter-clogged|particulate-level|smoke-present
S297,Piera IPS-7100 ultrafine particle sensor,70.0,Particulate,4,0.06,cooking-detected|particulate-level|smoke-present|voc-event
S313,SW-520D ball tilt switch,0.5,Motion & Vibration,4,8.0,am-i-level|door-state|object-moved|tamper-detected
S316,AS7343 14-channel spectral sensor,19.95,Colour & Spectral,4,0.2,colour-match|light-dose-daily|material-type|which-appliance
S318,TCS3200 frequency-output colour sensor,4.0,Colour & Spectral,4,1.0,colour-match|fruit-ripe|object-material|water-clarity
S319,OPT3001 photometric lux sensor,8.0,Light & UV,4,0.5,device-left-on|light-dose-daily|occupancy-duration|sky-clear
S320,VEML6030 ambient light sensor,6.0,Light & UV,4,0.67,device-left-on|light-dose-daily|sky-clear|someone-present
S321,TSOP38238 38kHz IR receiver,1.0,Light & UV,4,4.0,crossed-boundary|entered-or-left|object-count|object-present
S324,Apogee SQ-500 full-spectrum quantum (PAR) sensor,400.0,Light & UV,4,0.01,growth-rate|light-dose-daily|solar-performance|solar-resource
S346,Ammonium ion-selective electrode,189.0,Water & Liquid,4,0.02,concentration-liquid|contamination|soil-fertility|water-nutrients
S349,High-range EC probe for salinity (K=10),70.0,Water & Liquid,4,0.06,concentration-liquid|contamination|drift-from-baseline|water-nutrients
S350,Paddlewheel insertion flow sensor,320.0,Water & Liquid,4,0.01,flow-rate|machine-running|pump-dry|water-used-total
S353,Vertical float level switch (reed),4.0,Water & Liquid,4,1.0,container-fullness|pump-dry|tank-level|water-leak
S355,"METER TEROS 12 soil moisture, EC and temperature",220.0,Soil & Agriculture,4,0.02,moisture-content|plant-thirsty|soil-fertility|soil-ready-to-plant
S358,True TDR soil water content probe,395.0,Soil & Agriculture,4,0.01,moisture-content|plant-thirsty|soil-fertility|soil-ready-to-plant
S363,AD5941 bioimpedance / EIS analyser,95.0,Biometric & Health,4,0.04,breathing-rate|drift-from-baseline|hydration-proxy|stress-arousal
S364,ADS1292R 2-channel ECG + respiration front end,70.0,Biometric & Health,4,0.06,breathing-rate|breathing-stopped|heart-rate|heart-variability
S366,ADS1299 8-channel EEG front end,45.0,Biometric & Health,4,0.09,blink-or-eye-move|muscle-effort|sleep-stage-proxy|stress-arousal
S368,AFE4490 transmissive pulse-oximetry front end,55.0,Biometric & Health,4,0.07,blood-oxygen|breathing-rate|heart-rate|heart-variability
S369,MAXM86161 reflective PPG module,120.0,Biometric & Health,4,0.03,blood-oxygen|heart-rate|heart-variability|stress-arousal
S377,BQ27441-G1 Impedance Track fuel gauge,18.0,Power & Electrical,4,0.22,battery-charge|battery-health|drift-from-baseline|energy-budget-node
S382,LEM LA 55-P closed-loop Hall current transducer,35.0,Power & Electrical,4,0.11,abnormal-current|machine-running|machine-state|power-now
S384,Flexible Rogowski coil with integrator,150.0,Power & Electrical,4,0.03,abnormal-current|arc-or-discharge|machine-state|power-now
S386,AMC1311 reinforced isolated voltage-sense amplifier,5.0,Power & Electrical,4,0.8,drift-from-baseline|overheating|power-now|power-quality
S392,S-type load cell,35.0,Force & Weight,4,0.11,consumable-remaining|container-fullness|hive-state|object-present
S393,Button / pancake load cell,25.0,Force & Weight,4,0.16,consumable-remaining|object-present|posture|someone-present
S396,EeonTex piezoresistive fabric,15.0,Flex & Stretch,4,0.27,breathing-rate|object-present|posture|someone-present
S397,Capacitive stretch sensor,90.0,Flex & Stretch,4,0.04,breathing-rate|gait-quality|joint-angle|posture
S398,Conductive fabric and tape electrodes,12.0,Materials & Textiles,4,0.33,heart-rate|muscle-effort|object-present|someone-present
S400,PDM MEMS microphone,3.0,Sound & Audio,4,1.33,glass-broken|machine-state|someone-present|unusual-sound
S401,Hydrophone,45.0,Sound & Audio,4,0.09,livestock-wellbeing|machine-state|unusual-sound|water-leak
S402,40kHz ultrasonic transducer pair,3.0,Sound & Audio,4,1.33,air-leak|arc-or-discharge|object-present|obstacle-ahead
S403,MEMS ultrasonic ToF (Chirp),15.0,Sound & Audio,4,0.27,container-fullness|object-present|obstacle-ahead|someone-present
S404,RTL-SDR receiver,30.0,RF & Electromagnetic,4,0.13,asset-location|object-identity|rf-activity|which-appliance
S035,NDIR methane / hydrocarbon module,45,Gas & VOC,3,0.07,compost-active|gas-leak|ventilation-adequate
S042,SDS011 particulate,20,Particulate,3,0.15,cooking-detected|particulate-level|smoke-present
S043,Ikea VINDRIKTNING hack,13,Particulate,3,0.23,cooking-detected|particulate-level|smoke-present
S121,Anemometer cup sensor,12,Weather & Outdoor,3,0.25,frost-tonight|storm-approaching|wind-conditions
S122,Wind vane,12,Weather & Outdoor,3,0.25,storm-approaching|which-way-facing|wind-conditions
S124,AS3935 lightning detector,20,Weather & Outdoor,3,0.15,lightning-distance|rf-activity|storm-approaching
S149,ZMPT101B voltage sensor,3,Power & Electrical,3,1.0,device-left-on|power-now|power-quality
S154,Linear potentiometer / softpot,6,Position & Rotation,3,0.5,container-fullness|how-far-travelled|object-moved
S200,MQ-6 LPG/propane,2.5,Gas & VOC,3,1.2,cooking-detected|gas-leak|voc-event
S218,Thermistor airflow (nasal) kit,3,Biometric & Health,3,1.0,breathing-rate|breathing-stopped|sleep-stage-proxy
S222,Narrowband O2 sensor (HEGO),15,Industrial & Automotive,3,0.2,abnormal-current|machine-state|overheating
S226,Frustration-free moisture: plant leaf clip,5,Materials & Textiles,3,0.6,drift-from-baseline|growth-rate|plant-thirsty
S250,NEO-F10T dual-band GNSS timing receiver,120.0,GNSS & Positioning,3,0.03,drift-from-baseline|how-high|where-am-i
S271,NTAG I2C Plus 2K dual-interface tag,6.0,Identity & Tags,3,0.5,authorised-to-use|object-genuine|object-identity
S274,ID809 capacitive fingerprint module,32.0,Identity & Tags,3,0.09,authorised-to-use|someone-present|who-is-it
S276,ATECC608B secure element,6.0,Identity & Tags,3,0.5,authorised-to-use|object-genuine|tamper-detected
S288,Figaro TGS6812 catalytic pellistor,35.0,Gas & VOC,3,0.09,air-leak|fire-present|gas-leak
S289,INIR NDIR methane module,130.0,Gas & VOC,3,0.02,air-leak|compost-active|gas-leak
S291,Winsen ZE25-O3 ozone module,30.0,Gas & VOC,3,0.1,air-leak|contamination|ozone-present
S293,Alphasense CL2-A1 chlorine cell,130.0,Gas & VOC,3,0.02,contamination|gas-leak|water-sanitised
S322,BPW34 PIN photodiode,1.0,Light & UV,3,3.0,crossed-boundary|object-present|radiation-dose
S323,ALS-PT19 ambient light phototransistor,3.0,Light & UV,3,1.0,device-left-on|sky-clear|someone-present
S348,Free-chlorine amperometric membrane probe,390.0,Water & Liquid,3,0.01,concentration-liquid|contamination|water-sanitised
S351,Thermal microflow sensor for liquids,150.0,Water & Liquid,3,0.02,consumable-remaining|cycle-complete|flow-rate
