outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
power-quality,Energy,Is the supply voltage clean and stable?,5,,BROAD,ZMPT101B voltage sensor ($3),Eastron SDM120-Modbus DIN energy meter,— none,ZMPT101B voltage sensor ($3),ZMPT101B voltage sensor ($3) | ATM90E32AS polyphase energy metering AFE ($4.0) | AMC1311 reinforced isolated voltage-sense amplifier ($5.0) | PZEM-004T AC power module ($11) | Eastron SDM120-Modbus DIN energy meter ($38.0)
someone-present,Human presence,Is anyone here?,97,,FOUNDATION,ESP32 native touch pins ($0),Type 4 safety light curtain,TTP223 single touch ($0.5),NTC thermistor 10k ($0.3),ESP32 native touch pins ($0) | Wi-Fi CSI sensing (the router IS the sensor) ($0) | ESP32 internal sensors (free!) ($0) | NTC thermistor 10k ($0.3) | Piezo contact mic / disc ($0.5) | TTP223 single touch ($0.5) | KY-037/038 sound modules ($1) | RCWL-0516 doppler radar ($1.2) | HC-SR04 ultrasonic ($1.5) | HC-SR501 PIR motion ($1.5) | AM312 mini PIR ($2) | INMP441 I2S MEMS mic ($3) | MAX44009 ultra-low-power lux ($3) | ALS-PT19 ambient light phototransistor ($3.0) | PDM MEMS microphone ($3.0) | SI4432/CC1101 sub-GHz sniffer ($4) | SHTC3 tiny low-power RH/T ($4) | TSL2561 lux sensor ($4) | US-100 ultrasonic w/ temp comp ($4) | AGS02MA TVOC budget ($4) | VL53L0X ToF laser ($5) | LD2410 mmWave presence ($5) | ICS-43434 I2S mic ($5) | HX711 + load cell ($5) | Velostat pressure sheets ($5) | Pulse sensor (PPG classic) ($5) | YF-S201 flow sensor ($5) | APDS-9960 gesture/color/prox ($6) | MPR121 12-pad cap touch ($6) | MAX30102 pulse oximeter ($6) | VCNL4040 proximity + lux ($6) | MAX4466 adjustable mic amp ($6) | VEML6030 ambient light sensor ($6.0) | Azoteq IQS7211 / IQS263 proximity + touch ($6.0) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | FSR402 force resistor ($7) | HLK-LD2412 24GHz presence radar ($7.0) | MLX90614 IR thermometer ($8) | Sharp GP2Y0A21 IR distance ($8) | VL6180X short-range ToF ($8) | OV2640 camera (ESP32-CAM) ($8) | SI1145 UV/IR/visible ($8) | Conductive thread + fabric pads ($8) | Bat/dolphin: 40kHz ranging array ($8) | nRF52 BLE beacon tag ($8.0) | CAP1188 8-channel capacitive touch ($8.0) | ENS160 air quality ($9) | Capacitive liquid/force FDC1004 ($9) | MAX30205 clinical body temp ($9) | LD1125H 24GHz respiration radar ($9) | RD-03D 24GHz multi-target tracking radar ($9.0) | SGP30 eCO2/TVOC (legacy) ($10) | AD8232 ECG front-end ($10) | GSR / EDA sensor ($10) | Person Sensor (Useful Sensors) ($10) | VL53L1X long-range ToF ($12) | LD2450 multi-target tracking radar ($12) | Scale-hacking: NAU7802 ($12) | Panasonic EKMC PIR (quality) ($12) | Conductive fabric and tape electrodes ($12.0) | MLX90632 miniature IR temp ($14) | Weight-in-motion: piezo cable ($15) | Atmospheric electricity (field mill lite) ($15) | FDC2214 capacitive proximity front-end ($15.0) | EeonTex piezoresistive fabric ($15.0) | MEMS ultrasonic ToF (Chirp) ($15.0) | Grove Vision AI v2 ($16) | MH-Z19C budget NDIR CO2 ($18) | VL53L5CX 8x8 ToF array ($20) | Trill flexible touch sliders ($20) | Fingerprint reader R503 ($20) | DFRobot Gravity mmWave presence radar ($22) | SCD41 true CO2 ($25) | SenseAir S8 CO2 ($25) | Seeed MR60BHA2 vital-sign radar ($25) | MLX90614 forehead mode ($25) | Button / pancake load cell ($25.0) | Tactile pressure array ($25.0) | Geophone SM-24 ($30) | Cubic CM1107N dual-beam CO2 ($30.0) | ID809 capacitive fingerprint module ($32.0) | Grid-EYE AMG8833 thermal array ($35) | DFRobot dB meter ($37) | ADXL355 low-noise accel ($38) | SCD30 NDIR CO2 ($40) | RPLIDAR / LD19 scanning LiDAR ($40) | MLX90640 thermal camera ($45) | HuskyLens AI camera ($45) | D6T thermal presence ($55) | MLX90641 thermal (16x12) ($60) | MLX90621 16x4 fast thermal array ($60.0) | SenseAir K30 NDIR CO2 ($95.0) | Time-of-flight gesture radar 60GHz ($110) | FLIR Lepton 3.5 ($240) | InfiRay P2 Pro USB-C thermal camera ($270.0) | Type 4 safety light curtain ($800.0)
crossed-boundary,Human presence,Did something cross this line?,38,,FOUNDATION,Photoresistor (LDR) ($0.2),Type 4 safety light curtain,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | Through-beam slot / photo-interrupter ($1) | TSOP38238 38kHz IR receiver ($1.0) | BPW34 PIN photodiode ($1.0) | RCWL-0516 doppler radar ($1.2) | HC-SR04 ultrasonic ($1.5) | HC-SR501 PIR motion ($1.5) | AM312 mini PIR ($2) | Photoelectric beam sensor E18-D80NK ($3) | US-100 ultrasonic w/ temp comp ($4) | VL53L0X ToF laser ($5) | Velostat pressure sheets ($5) | APDS-9960 gesture/color/prox ($6) | VCNL4040 proximity + lux ($6) | Sharp GP2Y0A21 IR distance ($8) | NEO-6M GPS ($8) | Bat/dolphin: 40kHz ranging array ($8) | Ground vibration fence: fiber + photodiode ($10) | VL53L1X long-range ToF ($12) | LD2450 multi-target tracking radar ($12) | Panasonic EKMC PIR (quality) ($12) | VL53L4CD short-range precision ToF ($12.0) | Weight-in-motion: piezo cable ($15) | VL53L4CX multi-target ToF ($15.0) | Grove Vision AI v2 ($16) | u-blox M10 GNSS ($20) | TF-Luna LiDAR ($25) | Geophone SM-24 ($30) | ADXL355 low-noise accel ($38) | RPLIDAR / LD19 scanning LiDAR ($40) | HuskyLens AI camera ($45) | MLX90621 16x4 fast thermal array ($60.0) | Snow/level laser (outdoor ToF) ($70) | Retro-reflective photoelectric sensor ($70.0) | Through-beam photoelectric pair ($95.0) | MaxBotix MB7389 weather LV ($110) | M6E-Nano UHF RAIN RFID reader ($275.0) | Type 4 safety light curtain ($800.0)
occupancy-duration,Human presence,How long has this desk/room/seat been in use?,33,,FOUNDATION,HC-SR501 PIR motion ($1.5),Omron D6T-32L 1024-pixel thermopile array,HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5) | AM312 mini PIR ($2) | RC522 RFID reader ($2) | TSL2561 lux sensor ($4) | LD2410 mmWave presence ($5) | HX711 + load cell ($5) | Velostat pressure sheets ($5) | PN532 NFC controller ($6) | FSR402 force resistor ($7) | HLK-LD2412 24GHz presence radar ($7.0) | nRF52 BLE beacon tag ($8.0) | OPT3001 photometric lux sensor ($8.0) | LD1125H 24GHz respiration radar ($9) | RD-03D 24GHz multi-target tracking radar ($9.0) | Person Sensor (Useful Sensors) ($10) | TMP117 ultra-precise temp ($11) | VL53L1X long-range ToF ($12) | LD2450 multi-target tracking radar ($12) | Scale-hacking: NAU7802 ($12) | Panasonic EKMC PIR (quality) ($12) | MH-Z19C budget NDIR CO2 ($18) | Fingerprint reader R503 ($20) | DFRobot Gravity mmWave presence radar ($22) | DWM1001C UWB module with ready-made RTLS firmware ($22.0) | SCD41 true CO2 ($25) | SenseAir S8 CO2 ($25) | Seeed MR60BHA2 vital-sign radar ($25) | DFRobot dB meter ($37) | SCD30 NDIR CO2 ($40) | D6T thermal presence ($55) | Telaire T6713 I2C CO2 ($80.0) | ANT-B10 Bluetooth angle-of-arrival anchor ($90.0) | Omron D6T-32L 1024-pixel thermopile array ($200.0)
how-many-people,Human presence,How many people are in this space?,32,,FOUNDATION,Wi-Fi CSI sensing (the router IS the sensor) ($0),Heimann HTPA80x64d thermopile array,RD-03D 24GHz multi-target tracking radar ($9),RD-03D 24GHz multi-target tracking radar ($9),Wi-Fi CSI sensing (the router IS the sensor) ($0) | RD-03D 24GHz multi-target tracking radar ($9.0) | Person Sensor (Useful Sensors) ($10) | VL53L1X long-range ToF ($12) | LD2450 multi-target tracking radar ($12) | VL53L4CX multi-target ToF ($15.0) | Grove Vision AI v2 ($16) | MH-Z19C budget NDIR CO2 ($18) | VL53L5CX 8x8 ToF array ($20) | SCD41 true CO2 ($25) | SenseAir S8 CO2 ($25) | VL53L8CX 8x8 depth zone array ($25.0) | Cubic CM1107N dual-beam CO2 ($30.0) | Grid-EYE AMG8833 thermal array ($35) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | SCD30 NDIR CO2 ($40) | RPLIDAR / LD19 scanning LiDAR ($40) | MLX90640 thermal camera ($45) | HuskyLens AI camera ($45) | D6T thermal presence ($55) | MLX90641 thermal (16x12) ($60) | SEN66 six-in-one air module ($70.0) | Telaire T6713 I2C CO2 ($80.0) | SenseAir K30 NDIR CO2 ($95.0) | SenXor MI0801 CMOS thermal imager ($95.0) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0) | Time-of-flight gesture radar 60GHz ($110) | Heimann HTPA32x32d thermopile array ($140.0) | FLIR Lepton 3.1R radiometric thermal module ($180.0) | Omron D6T-32L 1024-pixel thermopile array ($200.0) | FLIR Lepton 3.5 ($240) | Heimann HTPA80x64d thermopile array ($350.0)
where-in-room,Human presence,Whereabouts in the room are they?,27,,CORE,LD2410 mmWave presence ($5),Livox Mid-360 3D LiDAR,LD2410 mmWave presence ($5),LD2410 mmWave presence ($5),LD2410 mmWave presence ($5) | Velostat pressure sheets ($5) | Wi-Fi and magnetic fingerprint positioning ($5.0) | MMC5603 precision magnetometer ($6) | SPH0645 I2S mic ($7) | Bat/dolphin: 40kHz ranging array ($8) | nRF52 BLE beacon tag ($8.0) | LD1125H 24GHz respiration radar ($9) | RD-03D 24GHz multi-target tracking radar ($9.0) | Person Sensor (Useful Sensors) ($10) | LD2450 multi-target tracking radar ($12) | VL53L5CX 8x8 ToF array ($20) | DFRobot Gravity mmWave presence radar ($22) | DWM1001C UWB module with ready-made RTLS firmware ($22.0) | VL53L8CX 8x8 depth zone array ($25.0) | Grid-EYE AMG8833 thermal array ($35) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | RPLIDAR / LD19 scanning LiDAR ($40) | DW1000 UWB two-way ranging radio ($40.0) | DW3000 UWB ranging radio (FiRa generation) ($48.0) | ANT-B10 Bluetooth angle-of-arrival anchor ($90.0) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0) | Time-of-flight gesture radar 60GHz ($110) | Heimann HTPA32x32d thermopile array ($140.0) | Omron D6T-32L 1024-pixel thermopile array ($200.0) | Heimann HTPA80x64d thermopile array ($350.0) | Livox Mid-360 3D LiDAR ($749.0)
entered-or-left,Human presence,"Did they come in, or go out?",24,,FOUNDATION,Reed switch ($0.5),ANT-B10 Bluetooth angle-of-arrival anchor,Reed switch ($0.5),Reed switch ($0.5),Reed switch ($0.5) | TSOP38238 38kHz IR receiver ($1.0) | RC522 RFID reader ($2) | 125kHz RDM6300 RFID ($3) | PN532 NFC controller ($6) | nRF52 BLE beacon tag ($8.0) | LD1125H 24GHz respiration radar ($9) | RD-03D 24GHz multi-target tracking radar ($9.0) | Person Sensor (Useful Sensors) ($10) | VL53L1X long-range ToF ($12) | LD2450 multi-target tracking radar ($12) | Panasonic EKMC PIR (quality) ($12) | Weight-in-motion: piezo cable ($15) | VL53L4CX multi-target ToF ($15.0) | Grove Vision AI v2 ($16) | VL53L5CX 8x8 ToF array ($20) | Fingerprint reader R503 ($20) | Wiegand-26 access control reader ($20.0) | DFRobot Gravity mmWave presence radar ($22) | VL53L8CX 8x8 depth zone array ($25.0) | Grid-EYE AMG8833 thermal array ($35) | 134.2kHz FDX-B animal microchip reader ($35.0) | HuskyLens AI camera ($45) | ANT-B10 Bluetooth angle-of-arrival anchor ($90.0)
person-fell,Human presence,Did someone fall?,18,,FOUNDATION,Wi-Fi CSI sensing (the router IS the sensor) ($0),Heimann HTPA80x64d thermopile array,VL53L5CX 8x8 ToF array ($20),Velostat pressure sheets ($5),Wi-Fi CSI sensing (the router IS the sensor) ($0) | Velostat pressure sheets ($5) | KX132 low-power accel ($6) | LIS2DW12 nanoamp accelerometer ($6.0) | BMI270 wearable IMU ($8) | High-g accel ADXL375 ($18) | VL53L5CX 8x8 ToF array ($20) | DFRobot Gravity mmWave presence radar ($22) | Seeed MR60BHA2 vital-sign radar ($25) | VL53L8CX 8x8 depth zone array ($25.0) | Grid-EYE AMG8833 thermal array ($35) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | MLX90640 thermal camera ($45) | SenXor MI0801 CMOS thermal imager ($95.0) | Time-of-flight gesture radar 60GHz ($110) | Omron D6T-32L 1024-pixel thermopile array ($200.0) | FLIR Lepton 3.5 ($240) | Heimann HTPA80x64d thermopile array ($350.0)
who-is-it,Human presence,Which specific person is this?,14,,FOUNDATION,ESP32 internal sensors (free!) ($0),ANT-B10 Bluetooth angle-of-arrival anchor,nRF52 BLE beacon tag ($8),ESP32 internal sensors (free!) ($0),ESP32 internal sensors (free!) ($0) | RC522 RFID reader ($2) | 125kHz RDM6300 RFID ($3) | PN532 NFC controller ($6) | nRF52 BLE beacon tag ($8.0) | Person Sensor (Useful Sensors) ($10) | PN5180 long-range NFC / ISO15693 reader ($12.0) | Fingerprint reader R503 ($20) | Wiegand-26 access control reader ($20.0) | ID809 capacitive fingerprint module ($32.0) | 134.2kHz FDX-B animal microchip reader ($35.0) | HuskyLens AI camera ($45) | DW3000 UWB ranging radio (FiRa generation) ($48.0) | ANT-B10 Bluetooth angle-of-arrival anchor ($90.0)
someone-still-present,Human presence,"Is someone still here, sitting perfectly still?",12,,CORE,LD2410 mmWave presence ($5),Omron D6T-32L 1024-pixel thermopile array,LD2410 mmWave presence ($5),LD2410 mmWave presence ($5),LD2410 mmWave presence ($5) | HLK-LD2412 24GHz presence radar ($7.0) | LD1125H 24GHz respiration radar ($9) | DFRobot Gravity mmWave presence radar ($22) | Seeed MR60BHA2 vital-sign radar ($25) | Grid-EYE AMG8833 thermal array ($35) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | Acconeer XM125 pulsed coherent radar ($70.0) | SenXor MI0801 CMOS thermal imager ($95.0) | Time-of-flight gesture radar 60GHz ($110) | Heimann HTPA32x32d thermopile array ($140.0) | Omron D6T-32L 1024-pixel thermopile array ($200.0)
no-movement-alarm,Human presence,Has nobody moved for worryingly long?,12,,CORE,HC-SR501 PIR motion ($1.5),Ferroelectret bed sensor (ballistocardiography),HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5) | AM312 mini PIR ($2) | LD2410 mmWave presence ($5) | Velostat pressure sheets ($5) | HLK-LD2412 24GHz presence radar ($7.0) | LD1125H 24GHz respiration radar ($9) | Panasonic EKMC PIR (quality) ($12) | DFRobot Gravity mmWave presence radar ($22) | Seeed MR60BHA2 vital-sign radar ($25) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | D6T thermal presence ($55) | Ferroelectret bed sensor (ballistocardiography) ($130.0)
person-asleep,Human presence,"Are they asleep, and how well?",9,,CORE,INMP441 I2S MEMS mic ($3),Ferroelectret bed sensor (ballistocardiography),INMP441 I2S MEMS mic ($3),VEML7700 high-accuracy lux ($5),INMP441 I2S MEMS mic ($3) | VEML7700 high-accuracy lux ($5) | LD2410 mmWave presence ($5) | ICS-43434 I2S mic ($5) | AD8232 ECG front-end ($10) | MAX30208 clinical-accuracy skin temperature ($10.0) | DFRobot Gravity mmWave presence radar ($22) | Seeed MR60BHA2 vital-sign radar ($25) | Ferroelectret bed sensor (ballistocardiography) ($130.0)
routine-broken,Human presence,Has this person's daily routine changed?,7,,CORE,HC-SR501 PIR motion ($1.5),RD200 radon sensor,HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5),HC-SR501 PIR motion ($1.5) | LD2410 mmWave presence ($5) | YF-S201 flow sensor ($5) | LD1125H 24GHz respiration radar ($9) | Panasonic EKMC PIR (quality) ($12) | DFRobot Gravity mmWave presence radar ($22) | RD200 radon sensor ($180)
queue-length,Human presence,"How many are waiting, and for how long?",5,,COMPLETE,RD-03D 24GHz multi-target tracking radar ($9),Weight-in-motion: piezo cable,RD-03D 24GHz multi-target tracking radar ($9),RD-03D 24GHz multi-target tracking radar ($9),RD-03D 24GHz multi-target tracking radar ($9.0) | LD2450 multi-target tracking radar ($12) | Weight-in-motion: piezo cable ($15) | Grove Vision AI v2 ($16) | DFRobot dB meter ($37)
are-they-looking,Human presence,Is someone actually looking at this?,2,rare,BROAD,Azoteq IQS7211 / IQS263 proximity + touch ($6),Azoteq IQS7211 / IQS263 proximity + touch,Azoteq IQS7211 / IQS263 proximity + touch ($6),Azoteq IQS7211 / IQS263 proximity + touch ($6),Azoteq IQS7211 / IQS263 proximity + touch ($6.0) | Person Sensor (Useful Sensors) ($10)
magnetic-anomaly,Invisible worlds,Is there ferrous metal or a field distortion here?,9,,FOUNDATION,QMC5883L compass ($2),Wi-Fi and magnetic fingerprint positioning,QMC5883L compass ($2),QMC5883L compass ($2),QMC5883L compass ($2) | Wi-Fi and magnetic fingerprint positioning ($5.0) | MMC5603 precision magnetometer ($6) | BMM350 TMR magnetometer ($7.0) | MLX90393 wide-range 3D mag ($8) | MPU-9250 9-axis (legacy) ($8) | LDC1612 inductive sensing ($9) | EMF / RF field probes ($12) | ICM-20948 9-axis IMU ($15)
hidden-wiring,Invisible worlds,Where is the wiring or metal inside this wall?,7,,FOUNDATION,QMC5883L compass ($2),LDC1612 inductive sensing,QMC5883L compass ($2),QMC5883L compass ($2),QMC5883L compass ($2) | MMC5603 precision magnetometer ($6) | BMM350 TMR magnetometer ($7.0) | MLX90393 wide-range 3D mag ($8) | Capacitive liquid/force FDC1004 ($9) | LDC1612 inductive sensing ($9) | EMF / RF field probes ($12)
through-wall-motion,Invisible worlds,Is something moving on the other side of that wall?,7,,FOUNDATION,Wi-Fi CSI sensing (the router IS the sensor) ($0),Acconeer XM125 pulsed coherent radar,RCWL-0516 doppler radar ($1.2),RCWL-0516 doppler radar ($1.2),Wi-Fi CSI sensing (the router IS the sensor) ($0) | RCWL-0516 doppler radar ($1.2) | LD2410 mmWave presence ($5) | HLK-LD2412 24GHz presence radar ($7.0) | LD1125H 24GHz respiration radar ($9) | DFRobot Gravity mmWave presence radar ($22) | Acconeer XM125 pulsed coherent radar ($70.0)
radiation-dose,Invisible worlds,How much radiation is here?,6,,CORE,BPW34 PIN photodiode ($1),Scintillating gamma spectrometer,BPW34 PIN photodiode ($1),BPW34 PIN photodiode ($1),BPW34 PIN photodiode ($1.0) | PIN photodiode radiation detector ($2.0) | Geiger counter kit ($25) | SiPM photodetector module ($60.0) | Muon detector (CosmicWatch) ($100) | Scintillating gamma spectrometer ($150)
rf-activity,Invisible worlds,"What is transmitting nearby, and how strongly?",6,,BROAD,SI4432/CC1101 sub-GHz sniffer ($4),10MHz GPSDO — GNSS-disciplined oscillator,SI4432/CC1101 sub-GHz sniffer ($4),SX1262 sub-GHz transceiver ($8),SI4432/CC1101 sub-GHz sniffer ($4) | SX1262 sub-GHz transceiver ($8.0) | EMF / RF field probes ($12) | AS3935 lightning detector ($20) | RTL-SDR receiver ($30.0) | 10MHz GPSDO — GNSS-disciplined oscillator ($130.0)
cosmic-flux,Invisible worlds,How many cosmic rays are passing through?,4,,BROAD,PIN photodiode radiation detector ($2),Muon detector (CosmicWatch),Geiger counter kit ($25),PIN photodiode radiation detector ($2),PIN photodiode radiation detector ($2.0) | Geiger counter kit ($25) | SiPM photodetector module ($60.0) | Muon detector (CosmicWatch) ($100)
which-isotope,Invisible worlds,Which radioactive isotope is this?,2,rare,COMPLETE,SiPM photodetector module ($60),Scintillating gamma spectrometer,— none,SiPM photodetector module ($60),SiPM photodetector module ($60.0) | Scintillating gamma spectrometer ($150)
ultrasonic-activity,Invisible worlds,What is making noise above human hearing?,2,rare,CORE,Ultrasonic mic experiments ($6),Acoustic emission (ultrasonic contact),Ultrasonic mic experiments ($6),Acoustic emission (ultrasonic contact) ($10),Ultrasonic mic experiments ($6) | Acoustic emission (ultrasonic contact) ($10)
atmospheric-charge,Invisible worlds,Is the atmosphere electrically charged?,1,SOLE ROUTE,COMPLETE,Atmospheric electricity (field mill lite) ($15),Atmospheric electricity (field mill lite),Atmospheric electricity (field mill lite) ($15),Atmospheric electricity (field mill lite) ($15),Atmospheric electricity (field mill lite) ($15)
drift-from-baseline,Machine health,Has this drifted from how it behaved when new?,88,,FOUNDATION,NTC thermistor 10k ($0.3),LEM IT 60-S ULTRASTAB fluxgate current transducer,BMP280 budget barometer ($1.5),NTC thermistor 10k ($0.3),"NTC thermistor 10k ($0.3) | Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | TMP36 analog temp ($1.5) | BMP280 budget barometer ($1.5) | Capacitive soil moisture v2 ($2) | AHT20 temp/humidity ($2) | RV4145A ground-fault / residual current detector ($2.0) | DS18B20 digital temp probe ($2.5) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | 801S vibration sensor ($3) | ADS1115 16-bit ADC (the analog fixer) ($3) | Capacitive rain/condensation plate ($3) | Strain gauge + amp ($4) | SI4432/CC1101 sub-GHz sniffer ($4) | MQ-8 hydrogen sensor ($4) | Si7021 humidity/temp ($4) | SHTC3 tiny low-power RH/T ($4) | INA3221 triple-channel power ($4) | MCP9808 precision temp ($5) | ICS-43434 I2S mic ($5) | HX711 + load cell ($5) | Frustration-free moisture: plant leaf clip ($5) | AMC1311 reinforced isolated voltage-sense amplifier ($5.0) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | KX132 low-power accel ($6) | OBD-II port as a sensor bus ($6.0) | HDC3022 humidity + temp ($7) | Nano33-style 1kg beam scale kit ($8) | EDA done properly - constant-voltage skin conductance ($8.0) | OPT4048 tristimulus color ($9) | MAX30205 clinical body temp ($9) | LSM6DSOX ML-core IMU ($10) | Chirp! plant sensor ($10) | Tire pressure TPMS receivers ($10) | Acoustic emission (ultrasonic contact) ($10) | MAX30208 clinical-accuracy skin temperature ($10.0) | TMP117 ultra-precise temp ($11) | XY-MD02 Modbus RTU temperature & humidity transmitter ($11.0) | EC / TDS sensor ($12) | EMF / RF field probes ($12) | Scale-hacking: NAU7802 ($12) | Oil/quality dielectric probe ($12) | ICM-45686 premium 6-axis IMU ($12.0) | Thermocouple multiplexer board ($13) | AS7341 11-channel spectral ($14) | MAX31855 thermocouple amp ($15) | MAX31865 RTD amplifier ($15) | Compost / hay temp lance ($15) | Atmospheric electricity (field mill lite) ($15) | High-g accel ADXL375 ($18) | BQ27441-G1 Impedance Track fuel gauge ($18.0) | ISM330DHCX industrial IMU ($20.0) | Geiger counter kit ($25) | 4-wire PT100 RTD probe with thermowell ($25.0) | FS3000 air velocity ($26) | AS7331 spectral UV ($27.5) | STC31 percent-level CO2 ($28.0) | Geophone SM-24 ($30) | Inclinometer SCL3300 ($35) | DFRobot dB meter ($37) | ADXL355 low-noise accel ($38) | Thermal flow: SDP + thermistor DIY ($40) | Watermark granular-matrix soil water sensor ($45) | IIS3DWB wideband vibration sensor ($45.0) | Scent delivery + e-nose loop ($60) | Oscillometric blood-pressure module (cuff, pump, valve) ($60.0) | High-range EC probe for salinity (K=10) ($70.0) | Point dendrometer (stem diameter) ($70.0) | Transit-time ultrasonic flow (clamp-on) ($85) | MPS flammable gas and refrigerant sensor ($85.0) | ADXL1002 wideband analog vibration sensor ($95.0) | Soil CO2 flux chamber (closed dynamic) ($95.0) | AD5941 bioimpedance / EIS analyser ($95.0) | Muon detector (CosmicWatch) ($100) | ORP (redox) probe ($110) | ADXL1005 ultra-wideband analog accelerometer ($110.0) | NEO-F10T dual-band GNSS timing receiver ($120.0) | 10MHz GPSDO — GNSS-disciplined oscillator ($130.0) | 4-20mA loop pressure transmitter ($150.0) | RD200 radon sensor ($180) | FLIR Lepton 3.1R radiometric thermal module ($180.0) | InfiRay P2 Pro USB-C thermal camera ($270.0) | METER TEROS 21 soil water potential ($290.0) | 352C33 IEPE piezoelectric accelerometer ($450.0) | LEM IT 60-S ULTRASTAB fluxgate current transducer ($900.0)"
machine-running,Machine health,Is it on?,60,,FOUNDATION,Photoresistor (LDR) ($0.2),Paddlewheel insertion flow sensor,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | NTC thermistor 10k ($0.3) | A3144 / SS49E Hall switches ($0.4) | Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | KY-037/038 sound modules ($1) | RCWL-0516 doppler radar ($1.2) | MPU-6050 6-axis IMU ($2) | IR flame detector (flicker) ($2) | DS18B20 digital temp probe ($2.5) | MQ-7 carbon monoxide ($2.5) | BH1750 lux sensor ($2.5) | INA219 current/power monitor ($2.5) | Inductive proximity switch M12/M18 ($2.5) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | INMP441 I2S MEMS mic ($3) | 801S vibration sensor ($3) | Piezo shock/knock element ($3) | ACS712 Hall current ($3) | MAX471 / shunt + ADS1115 ($3) | MAX44009 ultra-low-power lux ($3) | GUVA-S12SD UV analog ($4) | SI4432/CC1101 sub-GHz sniffer ($4) | TSL2561 lux sensor ($4) | INA3221 triple-channel power ($4) | INA700 power monitor with on-die shunt ($4.0) | MCP9808 precision temp ($5) | VEML7700 high-accuracy lux ($5) | LTR-390 UV + ambient ($5) | ICS-43434 I2S mic ($5) | INA226/INA228 precision power ($6) | KX132 low-power accel ($6) | MAX4466 adjustable mic amp ($6) | OBD-II port as a sensor bus ($6.0) | TSL2591 high dynamic lux ($7) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | MLX90614 IR thermometer ($8) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | BMI323 6-axis IMU ($8.0) | LSM6DSOX ML-core IMU ($10) | SCT-013 CT clamp ($10) | DS18B20 water temp + flow combo ($10) | PZEM-004T AC power module ($11) | 600/1024PPR optical encoder ($12) | EMF / RF field probes ($12) | Paddle flow switch ($12.0) | BMA400 ultra-low-power accelerometer ($13.0) | MLX90632 miniature IR temp ($14) | FS3000 air velocity ($26) | AS7331 spectral UV ($27.5) | Geophone SM-24 ($30) | Grid-EYE AMG8833 thermal array ($35) | LEM LA 55-P closed-loop Hall current transducer ($35.0) | DFRobot dB meter ($37) | Thermal flow: SDP + thermistor DIY ($40) | Transit-time ultrasonic flow (clamp-on) ($85) | Paddlewheel insertion flow sensor ($320.0)
